# theme: 정치와 외교
# unit: voca-n1-u002
官邸 | かんてい
組閣 | そかく
罷免 | ひめん
更迭 | こうてつ
失脚 | しっきゃく
退陣 | たいじん
続投 | ぞくとう
擁立 | ようりつ
遊説 | ゆうぜい
票田 | ひょうでん
過半数 | かはんすう
改選 | かいせん
民意 | みんい
失政 | しっせい
圧政 | あっせい
専制 | せんせい
覇権 | はけん
施政 | しせい
内政 | ないせい
干渉 | かんしょう
領海 | りょうかい
和平 | わへい
停戦 | ていせん
講和 | こうわ
批准 | ひじゅん
協定 | きょうてい
親善 | しんぜん
国交 | こっこう
断交 | だんこう
外相 | がいしょう
公使 | こうし
領事 | りょうじ
特使 | とくし
歴訪 | れきほう
表敬 | ひょうけい
妥結 | だけつ
膠着 | こうちゃく
打開 | だかい
仲介 | ちゅうかい
斡旋 | あっせん
牽制 | けんせい
威嚇 | いかく
恫喝 | どうかつ
報復 | ほうふく
制裁 | せいさい
封鎖 | ふうさ
禁輸 | きんゆ
亡命 | ぼうめい
抑留 | よくりゅう
拉致 | らち
冷戦 | れいせん
軍縮 | ぐんしゅく
抑止 | よくし
安保 | あんぽ
侵攻 | しんこう
併合 | へいごう
駐留 | ちゅうりゅう
派兵 | はへい
国連 | こくれん
脱退 | だったい
決議 | けつぎ
採択 | さいたく
拒否権 | きょひけん
質疑 | しつぎ
党首 | とうしゅ
総裁 | そうさい
穏健 | おんけん
急進 | きゅうしん
強硬 | きょうこう
融和 | ゆうわ
懐柔 | かいじゅう
癒着 | ゆちゃく
外交辞令 | がいこうじれい
遺憾 | いかん
施策 | しさく
国策 | こくさく
天下り | あまくだり
縦割り | たてわり
政変 | せいへん
蜂起 | ほうき
弾圧 | だんあつ
粛清 | しゅくせい
緊迫 | きんぱく
国益 | こくえき
入閣 | にゅうかく
離党 | りとう
造反 | ぞうはん
政局 | せいきょく
密約 | みつやく
歩み寄り | あゆみより
傀儡 | かいらい
領空 | りょうくう
使節 | しせつ
閣議 | かくぎ
改憲 | かいけん
挙党 | きょとう
超党派 | ちょうとうは
無所属 | むしょぞく
浮動票 | ふどうひょう
出馬 | しゅつば
