# theme: 경제·금융 심화
# unit: voca-n1-u003
失速 | しっそく
底入れ | そこいれ
底堅い | そこがたい
堅調 | けんちょう
軟調 | なんちょう
続落 | ぞくらく
続伸 | ぞくしん
急騰 | きゅうとう
暴騰 | ぼうとう
反落 | はんらく
騰貴 | とうき
引き締め | ひきしめ
利上げ | りあげ
利下げ | りさげ
利回り | りまわり
元本 | がんぽん
債券 | さいけん
国債 | こくさい
社債 | しゃさい
借款 | しゃっかん
貸付 | かしつけ
焦げ付き | こげつき
不良債権 | ふりょうさいけん
破綻 | はたん
債務超過 | さいむちょうか
粉飾 | ふんしょく
歳入 | さいにゅう
歳出 | さいしゅつ
国庫 | こっこ
補填 | ほてん
控除 | こうじょ
脱税 | だつぜい
株主 | かぶぬし
配当 | はいとう
出資 | しゅっし
投機 | とうき
上場 | じょうじょう
銘柄 | めいがら
時価 | じか
含み益 | ふくみえき
含み損 | ふくみぞん
損益 | そんえき
減価償却 | げんかしょうきゃく
流動性 | りゅうどうせい
担保 | たんぽ
抵当 | ていとう
与信 | よしん
需給 | じゅきゅう
過剰 | かじょう
品薄 | しなうす
採算 | さいさん
利潤 | りじゅん
粗利 | あらり
売上高 | うりあげだか
不振 | ふしん
経営難 | けいえいなん
傘下 | さんか
系列 | けいれつ
寡占 | かせん
談合 | だんごう
貿易摩擦 | ぼうえきまさつ
為替差益 | かわせさえき
外貨 | がいか
基軸 | きじく
恐慌 | きょうこう
格付け | かくづけ
取り付け | とりつけ
信託 | しんたく
先物 | さきもの
先行き | さきゆき
国内総生産 | こくないそうせいさん
春闘 | しゅんとう
内需 | ないじゅ
外需 | がいじゅ
設備投資 | せつびとうし
景況 | けいきょう
市況 | しきょう
活況 | かっきょう
閑散 | かんさん
緊縮 | きんしゅく
放漫 | ほうまん
散財 | さんざい
捻出 | ねんしゅつ
工面 | くめん
拠出 | きょしゅつ
割高 | わりだか
割安 | わりやす
値崩れ | ねくずれ
高止まり | たかどまり
右肩上がり | みぎかたあがり
目減り | めべり
増資 | ぞうし
減資 | げんし
償還 | しょうかん
手形 | てがた
量的緩和 | りょうてきかんわ
公定歩合 | こうていぶあい
預託 | よたく
買い占め | かいしめ
空売り | からうり
