# theme: 법률과 재판
# unit: voca-n1-u004
法廷 | ほうてい
公判 | こうはん
審理 | しんり
判事 | はんじ
弁護人 | べんごにん
被疑者 | ひぎしゃ
不起訴 | ふきそ
告訴 | こくそ
告発 | こくはつ
提訴 | ていそ
控訴 | こうそ
上告 | じょうこく
棄却 | ききゃく
差し戻し | さしもどし
判例 | はんれい
量刑 | りょうけい
求刑 | きゅうけい
禁錮 | きんこ
執行猶予 | しっこうゆうよ
冤罪 | えんざい
勾留 | こうりゅう
身柄 | みがら
送検 | そうけん
供述 | きょうじゅつ
自白 | じはく
黙秘 | もくひ
偽証 | ぎしょう
物証 | ぶっしょう
押収 | おうしゅう
差し押さえ | さしおさえ
令状 | れいじょう
立件 | りっけん
摘発 | てきはつ
検挙 | けんきょ
共犯 | きょうはん
主犯 | しゅはん
余罪 | よざい
再犯 | さいはん
正当防衛 | せいとうぼうえい
過失 | かしつ
故意 | こい
傷害 | しょうがい
横領 | おうりょう
背任 | はいにん
贈賄 | ぞうわい
収賄 | しゅうわい
恐喝 | きょうかつ
脅迫 | きょうはく
名誉毀損 | めいよきそん
脱法 | だっぽう
法規 | ほうき
民法 | みんぽう
刑法 | けいほう
立法 | りっぽう
三権分立 | さんけんぶんりつ
公布 | こうふ
撤廃 | てっぱい
失効 | しっこう
効力 | こうりょく
遡及 | そきゅう
履行 | りこう
債務不履行 | さいむふりこう
調停 | ちょうてい
慰謝料 | いしゃりょう
親権 | しんけん
後見 | こうけん
侵害 | しんがい
差し止め | さしとめ
仮処分 | かりしょぶん
異議申し立て | いぎもうしたて
陪審 | ばいしん
裁判員 | さいばんいん
弁論 | べんろん
陳述 | ちんじゅつ
尋問 | じんもん
証拠隠滅 | しょうこいんめつ
酌量 | しゃくりょう
減刑 | げんけい
恩赦 | おんしゃ
服役 | ふくえき
矯正 | きょうせい
更生 | こうせい
保釈 | ほしゃく
仮釈放 | かりしゃくほう
没収 | ぼっしゅう
追徴 | ついちょう
罰則 | ばっそく
厳罰 | げんばつ
法曹 | ほうそう
抗弁 | こうべん
弾劾 | だんがい
違憲 | いけん
合憲 | ごうけん
上訴 | じょうそ
抵触 | ていしょく
嫌疑 | けんぎ
原審 | げんしん
極刑 | きょっけい
実刑 | じっけい
科料 | かりょう
