# theme: 사회 제도
# unit: voca-n1-u005
扶助 | ふじょ
受給 | じゅきゅう
掛け金 | かけきん
納税 | のうぜい
戸籍 | こせき
住民票 | じゅうみんひょう
本籍 | ほんせき
在留 | ざいりゅう
永住 | えいじゅう
帰化 | きか
所轄 | しょかつ
管轄 | かんかつ
所管 | しょかん
官公庁 | かんこうちょう
許認可 | きょにんか
交付 | こうふ
規制緩和 | きせいかんわ
公営 | こうえい
財団 | ざいだん
法人 | ほうじん
非営利 | ひえいり
慈善 | じぜん
募金 | ぼきん
奉仕 | ほうし
困窮 | こんきゅう
弱者 | じゃくしゃ
救済 | きゅうさい
雇用保険 | こようほけん
終身雇用 | しゅうしんこよう
年功序列 | ねんこうじょれつ
労働組合 | ろうどうくみあい
労使 | ろうし
争議 | そうぎ
処遇 | しょぐう
託児 | たくじ
就学 | しゅうがく
学制 | がくせい
国民皆保険 | こくみんかいほけん
世帯主 | せたいぬし
所帯 | しょたい
婚姻 | こんいん
事実婚 | じじつこん
嫡出 | ちゃくしゅつ
養子縁組 | ようしえんぐみ
里親 | さとおや
成年 | せいねん
選挙権 | せんきょけん
参政権 | さんせいけん
兵役 | へいえき
徴兵 | ちょうへい
治安 | ちあん
減災 | げんさい
復興 | ふっこう
仮設住宅 | かせつじゅうたく
公共事業 | こうきょうじぎょう
都市計画 | としけいかく
区画 | くかく
優遇 | ゆうぐう
特例 | とくれい
免除 | めんじょ
猶予 | ゆうよ
減免 | げんめん
受益者 | じゅえきしゃ
弊害 | へいがい
形骸化 | けいがいか
抜け穴 | ぬけあな
見直し | みなおし
刷新 | さっしん
抜本 | ばっぽん
存続 | そんぞく
統廃合 | とうはいごう
一元化 | いちげんか
戸籍謄本 | こせきとうほん
住民税 | じゅうみんぜい
累進課税 | るいしんかぜい
再分配 | さいぶんぱい
社会通念 | しゃかいつうねん
慣行 | かんこう
慣例 | かんれい
権益 | けんえき
既得権 | きとくけん
特権 | とっけん
階層 | かいそう
身分 | みぶん
階級 | かいきゅう
補助金 | ほじょきん
厚生年金 | こうせいねんきん
公的扶助 | こうてきふじょ
職業訓練 | しょくぎょうくんれん
生活困窮者 | せいかつこんきゅうしゃ
ひとり親 | ひとりおや
母子家庭 | ぼしかてい
民生委員 | みんせいいいん
地方分権 | ちほうぶんけん
地方交付税 | ちほうこうふぜい
中央集権 | ちゅうおうしゅうけん
官民 | かんみん
外郭団体 | がいかくだんたい
公益法人 | こうえきほうじん
届出制 | とどけでせい
