# theme: 의학과 생명
# unit: voca-n1-u007
染色体 | せんしょくたい
抗体 | こうたい
抗原 | こうげん
抗生物質 | こうせいぶっしつ
感染症 | かんせんしょう
病原体 | びょうげんたい
疫病 | えきびょう
疫学 | えきがく
蔓延 | まんえん
潜伏期間 | せんぷくきかん
発症 | はっしょう
症例 | しょうれい
疾患 | しっかん
疾病 | しっぺい
臨床 | りんしょう
治験 | ちけん
投与 | とうよ
投薬 | とうやく
問診 | もんしん
触診 | しょくしん
精密検査 | せいみつけんさ
腫瘍 | しゅよう
悪性 | あくせい
良性 | りょうせい
転移 | てんい
再発 | さいはつ
合併症 | がっぺいしょう
後遺症 | こういしょう
化膿 | かのう
痙攣 | けいれん
脱水 | だっすい
衰弱 | すいじゃく
虚弱 | きょじゃく
昏睡 | こんすい
蘇生 | そせい
延命 | えんめい
安楽死 | あんらくし
尊厳死 | そんげんし
脳死 | のうし
終末期 | しゅうまつき
看取る | みとる
余命 | よめい
老衰 | ろうすい
臨終 | りんじゅう
瀕死 | ひんし
致死 | ちし
致命的 | ちめいてき
執刀 | しっとう
切開 | せっかい
縫合 | ほうごう
摘出 | てきしゅつ
輸血 | ゆけつ
採血 | さいけつ
動脈 | どうみゃく
静脈 | じょうみゃく
脈拍 | みゃくはく
心拍 | しんぱく
呼吸器 | こきゅうき
消化器 | しょうかき
循環器 | じゅんかんき
自律神経 | じりつしんけい
脊髄 | せきずい
骨髄 | こつずい
内臓 | ないぞう
膵臓 | すいぞう
粘膜 | ねんまく
分泌 | ぶんぴつ
代謝 | たいしゃ
新陳代謝 | しんちんたいしゃ
酵素 | こうそ
生殖 | せいしょく
受精 | じゅせい
胎児 | たいじ
増殖 | ぞうしょく
寄生 | きせい
共生 | きょうせい
隔離 | かくり
病状 | びょうじょう
快方 | かいほう
完治 | かんち
治癒 | ちゆ
静養 | せいよう
医療過誤 | いりょうかご
生命倫理 | せいめいりんり
再生医療 | さいせいいりょう
認知症 | にんちしょう
依存症 | いぞんしょう
患う | わずらう
蝕む | むしばむ
クローン | クローン
透析 | とうせき
潰瘍 | かいよう
梗塞 | こうそく
喘息 | ぜんそく
危篤 | きとく
重篤 | じゅうとく
発疹 | ほっしん
解熱 | げねつ
鎮痛剤 | ちんつうざい
疼く | うずく
