# theme: 역사와 전통
# unit: voca-n1-u010
太古 | たいこ
原始 | げんし
先史 | せんし
有史 | ゆうし
中世 | ちゅうせい
近世 | きんせい
王朝 | おうちょう
朝廷 | ちょうてい
幕府 | ばくふ
将軍 | しょうぐん
大名 | だいみょう
藩 | はん
武士 | ぶし
公家 | くげ
皇室 | こうしつ
皇族 | こうぞく
摂政 | せっしょう
君主 | くんしゅ
天下 | てんか
領主 | りょうしゅ
領地 | りょうち
荘園 | しょうえん
年貢 | ねんぐ
百姓 | ひゃくしょう
家柄 | いえがら
家督 | かとく
世襲 | せしゅう
跡継ぎ | あとつぎ
嫡男 | ちゃくなん
家系 | かけい
血筋 | ちすじ
末裔 | まつえい
子孫 | しそん
祖先 | そせん
開祖 | かいそ
始祖 | しそ
元祖 | がんそ
由緒 | ゆいしょ
起源 | きげん
発祥 | はっしょう
沿革 | えんかく
変遷 | へんせん
興亡 | こうぼう
盛衰 | せいすい
滅亡 | めつぼう
没落 | ぼつらく
隆盛 | りゅうせい
全盛 | ぜんせい
動乱 | どうらん
戦乱 | せんらん
内乱 | ないらん
一揆 | いっき
謀反 | むほん
征服 | せいふく
遠征 | えんせい
植民地 | しょくみんち
鎖国 | さこく
開国 | かいこく
維新 | いしん
文明開化 | ぶんめいかいか
遷都 | せんと
城下町 | じょうかまち
宿場 | しゅくば
街道 | かいどう
遺跡 | いせき
遺物 | いぶつ
史跡 | しせき
古墳 | こふん
出土 | しゅつど
発掘 | はっくつ
埴輪 | はにわ
土器 | どき
古文書 | こもんじょ
史料 | しりょう
文献 | ぶんけん
史実 | しじつ
伝承 | でんしょう
口承 | こうしょう
言い伝え | いいつたえ
故事 | こじ
風習 | ふうしゅう
慣習 | かんしゅう
因習 | いんしゅう
しきたり | しきたり
習わし | ならわし
儀式 | ぎしき
儀礼 | ぎれい
祭礼 | さいれい
祭祀 | さいし
神事 | しんじ
奉納 | ほうのう
参拝 | さんぱい
寺院 | じいん
境内 | けいだい
継承 | けいしょう
伝授 | でんじゅ
秘伝 | ひでん
家元 | いえもと
師匠 | ししょう
門弟 | もんてい
