# theme: 보도문 표현
# unit: voca-n1-u011
続報 | ぞくほう
一報 | いっぽう
朗報 | ろうほう
訃報 | ふほう
悲報 | ひほう
寄稿 | きこう
談話 | だんわ
言明 | げんめい
失言 | しつげん
撤回 | てっかい
追認 | ついにん
相次ぐ | あいつぐ
浮上 | ふじょう
取り沙汰 | とりざた
物議 | ぶつぎ
波紋 | はもん
余波 | よは
難航 | なんこう
紛糾 | ふんきゅう
頓挫 | とんざ
抜擢 | ばってき
起用 | きよう
発足 | ほっそく
踏み切る | ふみきる
棚上げ | たなあげ
先送り | さきおくり
前倒し | まえだおし
未曽有 | みぞう
甚大 | じんだい
壊滅 | かいめつ
倒壊 | とうかい
崩落 | ほうらく
陥没 | かんぼつ
浸水 | しんすい
冠水 | かんすい
安否 | あんぴ
重体 | じゅうたい
搬送 | はんそう
死傷者 | ししょうしゃ
惨事 | さんじ
惨状 | さんじょう
殺到 | さっとう
騒動 | そうどう
暴動 | ぼうどう
座り込み | すわりこみ
嘆願 | たんがん
通告 | つうこく
勧告 | かんこく
警鐘 | けいしょう
発令 | はつれい
凍結 | とうけつ
復旧 | ふっきゅう
救出 | きゅうしゅつ
遺族 | いぞく
犠牲者 | ぎせいしゃ
当局 | とうきょく
関係筋 | かんけいすじ
消息筋 | しょうそくすじ
情報筋 | じょうほうすじ
経緯 | けいい
全容 | ぜんよう
発覚 | はっかく
露見 | ろけん
不祥事 | ふしょうじ
隠蔽 | いんぺい
改ざん | かいざん
公算 | こうさん
論議 | ろんぎ
特派員 | とくはいん
密着 | みっちゃく
生中継 | なまちゅうけい
殺傷 | さっしょう
未明 | みめい
一斉 | いっせい
書類送検 | しょるいそうけん
家宅捜索 | かたくそうさく
被災地 | ひさいち
巻き添え | まきぞえ
全焼 | ぜんしょう
延焼 | えんしょう
鎮火 | ちんか
出火 | しゅっか
容疑 | ようぎ
引責辞任 | いんせきじにん
救援物資 | きゅうえんぶっし
義援金 | ぎえんきん
爪痕 | つめあと
氾濫 | はんらん
決壊 | けっかい
横転 | おうてん
追突 | ついとつ
玉突き事故 | たまつきじこ
ひき逃げ | ひきにげ
通り魔 | とおりま
指名手配 | しめいてはい
出頭 | しゅっとう
初公判 | はつこうはん
囲み取材 | かこみしゅざい
特ダネ | とくだね
報道規制 | ほうどうきせい
