# theme: 고급 감정·심리
# unit: voca-n1-u012
憤り | いきどおり
憤る | いきどおる
憤慨 | ふんがい
嘆かわしい | なげかわしい
悔恨 | かいこん
危惧 | きぐ
焦燥 | しょうそう
苛立ち | いらだち
憂える | うれえる
憂い | うれい
哀愁 | あいしゅう
悲哀 | ひあい
号泣 | ごうきゅう
嗚咽 | おえつ
感無量 | かんむりょう
感慨 | かんがい
感銘 | かんめい
感嘆 | かんたん
敬服 | けいふく
畏敬 | いけい
畏怖 | いふ
戦慄 | せんりつ
怯む | ひるむ
臆する | おくする
狼狽 | ろうばい
呆然 | ぼうぜん
唖然 | あぜん
愕然 | がくぜん
驚愕 | きょうがく
安堵 | あんど
鬱憤 | うっぷん
屈辱 | くつじょく
羞恥心 | しゅうちしん
恥じらう | はじらう
気恥ずかしい | きはずかしい
やましい | やましい
自責 | じせき
呵責 | かしゃく
羨望 | せんぼう
僻む | ひがむ
怨恨 | えんこん
逆恨み | さかうらみ
名残惜しい | なごりおしい
やるせない | やるせない
いたたまれない | いたたまれない
心許ない | こころもとない
虚無感 | きょむかん
喪失感 | そうしつかん
疎外感 | そがいかん
高揚 | こうよう
陶酔 | とうすい
恍惚 | こうこつ
歓喜 | かんき
有頂天 | うちょうてん
愉悦 | ゆえつ
痛快 | つうかい
憎悪 | ぞうお
忌まわしい | いまわしい
疎ましい | うとましい
鬱陶しい | うっとうしい
腹立たしい | はらだたしい
歯がゆい | はがゆい
胸騒ぎ | むなさわぎ
萎縮 | いしゅく
気後れ | きおくれ
物怖じ | ものおじ
躊躇 | ちゅうちょ
逡巡 | しゅんじゅん
葛藤 | かっとう
煩悶 | はんもん
塞ぎ込む | ふさぎこむ
諦観 | ていかん
感傷 | かんしょう
郷愁 | きょうしゅう
憧憬 | しょうけい
渇望 | かつぼう
切望 | せつぼう
気概 | きがい
闘志 | とうし
士気 | しき
気落ち | きおち
滅入る | めいる
心酔 | しんすい
傾倒 | けいとう
慈しむ | いつくしむ
愛おしい | いとおしい
思慕 | しぼ
慕う | したう
憐れむ | あわれむ
憐憫 | れんびん
不憫 | ふびん
心苦しい | こころぐるしい
自負 | じふ
虚栄心 | きょえいしん
猜疑心 | さいぎしん
わだかまり | わだかまり
苦悶 | くもん
失意 | しつい
慙愧 | ざんき
懊悩 | おうのう
