# theme: 고급 동사 — 賄う·覆す
# unit: voca-n1-u015
覆す | くつがえす
覆る | くつがえる
培う | つちかう
携える | たずさえる
司る | つかさどる
貫く | つらぬく
遂げる | とげる
究める | きわめる
唆す | そそのかす
諭す | さとす
戒める | いましめる
咎める | とがめる
窘める | たしなめる
罵る | ののしる
詰る | なじる
蔑む | さげすむ
侮る | あなどる
欺く | あざむく
謀る | はかる
目論む | もくろむ
企む | たくらむ
施す | ほどこす
授かる | さずかる
授ける | さずける
仰ぐ | あおぐ
憚る | はばかる
慮る | おもんぱかる
省みる | かえりみる
準じる | じゅんじる
則る | のっとる
赴く | おもむく
馳せる | はせる
募る | つのる
綴る | つづる
紡ぐ | つむぐ
繕う | つくろう
取り繕う | とりつくろう
装う | よそおう
偽る | いつわる
紛らわす | まぎらわす
紛れる | まぎれる
滞る | とどこおる
淀む | よどむ
償う | つぐなう
報いる | むくいる
逸する | いっする
逸れる | それる
免れる | まぬかれる
阻む | はばむ
遮る | さえぎる
隔てる | へだてる
隔たる | へだたる
集う | つどう
群がる | むらがる
連ねる | つらねる
率いる | ひきいる
統べる | すべる
束ねる | たばねる
委ねる | ゆだねる
託す | たくす
強いる | しいる
急かす | せかす
煽る | あおる
ほのめかす | ほのめかす
驕る | おごる
貪る | むさぼる
耽る | ふける
惑わす | まどわす
拗れる | こじれる
縺れる | もつれる
和らげる | やわらげる
締めくくる | しめくくる
括る | くくる
拘る | こだわる
窺う | うかがう
見据える | みすえる
見くびる | みくびる
見誤る | みあやまる
立ちはだかる | たちはだかる
立ち込める | たちこめる
差し伸べる | さしのべる
仕える | つかえる
損なう | そこなう
脅かす | おびやかす
被る | こうむる
纏う | まとう
帯びる | おびる
秘める | ひめる
潜む | ひそむ
忍ぶ | しのぶ
偲ぶ | しのぶ
凌ぐ | しのぐ
怠る | おこたる
慎む | つつしむ
弁える | わきまえる
察する | さっする
汲み取る | くみとる
推し量る | おしはかる
取り成す | とりなす
執り行う | とりおこなう
