# theme: 고급 형용사·형용동사
# unit: voca-n1-u016
夥しい | おびただしい
甚だしい | はなはだしい
輝かしい | かがやかしい
華々しい | はなばなしい
麗しい | うるわしい
清々しい | すがすがしい
疎い | うとい
険しい | けわしい
淡い | あわい
手厚い | てあつい
手強い | てごわい
馴れ馴れしい | なれなれしい
白々しい | しらじらしい
仰々しい | ぎょうぎょうしい
荒々しい | あらあらしい
初々しい | ういういしい
痛々しい | いたいたしい
容易い | たやすい
相応しい | ふさわしい
根強い | ねづよい
慎み深い | つつしみぶかい
生々しい | なまなましい
瑞々しい | みずみずしい
刺々しい | とげとげしい
物々しい | ものものしい
呆気ない | あっけない
味気ない | あじけない
覚束ない | おぼつかない
忙しない | せわしない
目まぐるしい | めまぐるしい
おこがましい | おこがましい
けたたましい | けたたましい
けばけばしい | けばけばしい
たどたどしい | たどたどしい
よそよそしい | よそよそしい
あくどい | あくどい
際どい | きわどい
程遠い | ほどとおい
芳しい | かんばしい
香ばしい | こうばしい
手緩い | てぬるい
生温い | なまぬるい
野暮ったい | やぼったい
顕著 | けんちょ
閑静 | かんせい
華奢 | きゃしゃ
絢爛 | けんらん
粗雑 | そざつ
杜撰 | ずさん
緻密 | ちみつ
精巧 | せいこう
巧妙 | こうみょう
稚拙 | ちせつ
不可欠 | ふかけつ
過酷 | かこく
熾烈 | しれつ
凄惨 | せいさん
露骨 | ろこつ
無造作 | むぞうさ
厳か | おごそか
疎か | おろそか
健やか | すこやか
和やか | なごやか
艶やか | あでやか
まろやか | まろやか
しなやか | しなやか
煌びやか | きらびやか
密か | ひそか
仄か | ほのか
大らか | おおらか
清らか | きよらか
強靭 | きょうじん
堅固 | けんご
殺風景 | さっぷうけい
周到 | しゅうとう
旺盛 | おうせい
悠長 | ゆうちょう
手薄 | てうす
風変わり | ふうがわり
生半可 | なまはんか
散漫 | さんまん
冗長 | じょうちょう
漠然 | ばくぜん
不穏 | ふおん
劣悪 | れつあく
肝要 | かんよう
切実 | せつじつ
莫大 | ばくだい
凄まじい | すさまじい
厳粛 | げんしゅく
精緻 | せいち
痛切 | つうせつ
流暢 | りゅうちょう
貪欲 | どんよく
いかがわしい | いかがわしい
忌々しい | いまいましい
恭しい | うやうやしい
猛々しい | たけだけしい
禍々しい | まがまがしい
空々しい | そらぞらしい
