# theme: 고급 부사 — 辛うじて·概ね
# unit: voca-n1-u017
自ずから | おのずから
自ずと | おのずと
強ち | あながち
否応なしに | いやおうなしに
思いのほか | おもいのほか
今しがた | いましがた
いやに | いやに
かつて | かつて
かねがね | かねがね
くまなく | くまなく
ことごとく | ことごとく
殊更 | ことさら
ことによると | ことによると
さながら | さながら
さも | さも
しかと | しかと
重々 | じゅうじゅう
すかさず | すかさず
すこぶる | すこぶる
そもそも | そもそも
たかが | たかが
ただでさえ | ただでさえ
ついぞ | ついぞ
てっきり | てっきり
とっさに | とっさに
とりわけ | とりわけ
何とぞ | なにとぞ
尚更 | なおさら
なおも | なおも
なにしろ | なにしろ
何分 | なにぶん
軒並み | のきなみ
のっけから | のっけから
はなから | はなから
甚だ | はなはだ
偏に | ひとえに
紛れもなく | まぎれもなく
まるっきり | まるっきり
満更 | まんざら
むやみに | むやみに
無性に | むしょうに
もはや | もはや
もろに | もろに
やたらと | やたらと
やむを得ず | やむをえず
優に | ゆうに
よもや | よもや
我ながら | われながら
ややもすれば | ややもすれば
いち早く | いちはやく
押し並べて | おしなべて
凡そ | おおよそ
かくして | かくして
仮初めにも | かりそめにも
代わる代わる | かわるがわる
ことのほか | ことのほか
これ見よがしに | これみよがしに
差し当たり | さしあたり
然して | さして
暫し | しばし
所詮 | しょせん
たちどころに | たちどころに
てんで | てんで
とうに | とうに
まさしく | まさしく
真っ向から | まっこうから
未然に | みぜんに
矢庭に | やにわに
やおら | やおら
ゆくゆく | ゆくゆく
逐一 | ちくいち
追々 | おいおい
おちおち | おちおち
あたかも | あたかも
あわや | あわや
いとも | いとも
くしくも | くしくも
さしずめ | さしずめ
ともすると | ともすると
のべつ | のべつ
徐に | おもむろに
挙って | こぞって
頑として | がんとして
漫然と | まんぜんと
厳然と | げんぜんと
須らく | すべからく
努々 | ゆめゆめ
否が応でも | いやがおうでも
まじまじと | まじまじと
つぶさに | つぶさに
況して | まして
如実に | にょじつに
皆目 | かいもく
敢えなく | あえなく
呆気なく | あっけなく
いやしくも | いやしくも
よしんば | よしんば
あまつさえ | あまつさえ
おいそれと | おいそれと
兼ねて | かねて
