# theme: 사자성어와 한자 성어
# unit: voca-n1-u018
一朝一夕 | いっちょういっせき
一長一短 | いっちょういったん
一喜一憂 | いっきいちゆう
一進一退 | いっしんいったい
一期一会 | いちごいちえ
一挙両得 | いっきょりょうとく
一部始終 | いちぶしじゅう
一網打尽 | いちもうだじん
一刀両断 | いっとうりょうだん
一触即発 | いっしょくそくはつ
一心不乱 | いっしんふらん
一念発起 | いちねんほっき
一目瞭然 | いちもくりょうぜん
一日千秋 | いちじつせんしゅう
一獲千金 | いっかくせんきん
一蓮托生 | いちれんたくしょう
意気投合 | いきとうごう
意気消沈 | いきしょうちん
意気揚々 | いきようよう
異口同音 | いくどうおん
以心伝心 | いしんでんしん
右往左往 | うおうさおう
紆余曲折 | うよきょくせつ
温故知新 | おんこちしん
我田引水 | がでんいんすい
画竜点睛 | がりょうてんせい
危機一髪 | ききいっぱつ
疑心暗鬼 | ぎしんあんき
奇想天外 | きそうてんがい
旧態依然 | きゅうたいいぜん
急転直下 | きゅうてんちょっか
空前絶後 | くうぜんぜつご
厚顔無恥 | こうがんむち
公明正大 | こうめいせいだい
古今東西 | ここんとうざい
孤立無援 | こりつむえん
五里霧中 | ごりむちゅう
言語道断 | ごんごどうだん
再三再四 | さいさんさいし
自画自賛 | じがじさん
自業自得 | じごうじとく
試行錯誤 | しこうさくご
四苦八苦 | しくはっく
事実無根 | じじつむこん
七転八倒 | しちてんばっとう
質実剛健 | しつじつごうけん
自暴自棄 | じぼうじき
四面楚歌 | しめんそか
弱肉強食 | じゃくにくきょうしょく
縦横無尽 | じゅうおうむじん
終始一貫 | しゅうしいっかん
取捨選択 | しゅしゃせんたく
順風満帆 | じゅんぷうまんぱん
針小棒大 | しんしょうぼうだい
心機一転 | しんきいってん
正々堂々 | せいせいどうどう
絶体絶命 | ぜったいぜつめい
千載一遇 | せんざいいちぐう
千差万別 | せんさばんべつ
前代未聞 | ぜんだいみもん
前途多難 | ぜんとたなん
大器晩成 | たいきばんせい
大同小異 | だいどうしょうい
単刀直入 | たんとうちょくにゅう
朝令暮改 | ちょうれいぼかい
適材適所 | てきざいてきしょ
徹頭徹尾 | てっとうてつび
天真爛漫 | てんしんらんまん
電光石火 | でんこうせっか
東奔西走 | とうほんせいそう
日進月歩 | にっしんげっぽ
二者択一 | にしゃたくいつ
半信半疑 | はんしんはんぎ
美辞麗句 | びじれいく
不言実行 | ふげんじっこう
付和雷同 | ふわらいどう
不眠不休 | ふみんふきゅう
粉骨砕身 | ふんこつさいしん
平身低頭 | へいしんていとう
傍若無人 | ぼうじゃくぶじん
本末転倒 | ほんまつてんとう
満場一致 | まんじょういっち
無我夢中 | むがむちゅう
面従腹背 | めんじゅうふくはい
優柔不断 | ゆうじゅうふだん
有名無実 | ゆうめいむじつ
油断大敵 | ゆだんたいてき
用意周到 | よういしゅうとう
臨機応変 | りんきおうへん
和洋折衷 | わようせっちゅう
因果応報 | いんがおうほう
玉石混交 | ぎょくせきこんこう
群雄割拠 | ぐんゆうかっきょ
軽挙妄動 | けいきょもうどう
呉越同舟 | ごえつどうしゅう
才色兼備 | さいしょくけんび
時期尚早 | じきしょうそう
私利私欲 | しりしよく
支離滅裂 | しりめつれつ
森羅万象 | しんらばんしょう
