# theme: 관용구와 속담
# unit: voca-n1-u019
油を売る | あぶらをうる
息を呑む | いきをのむ
一目置く | いちもくおく
腕が鳴る | うでがなる
お茶を濁す | おちゃをにごす
気が置けない | きがおけない
釘を刺す | くぎをさす
群を抜く | ぐんをぬく
心を砕く | こころをくだく
匙を投げる | さじをなげる
尻尾を出す | しっぽをだす
白を切る | しらをきる
図に乗る | ずにのる
背に腹は代えられない | せにはらはかえられない
太鼓判を押す | たいこばんをおす
棚に上げる | たなにあげる
高を括る | たかをくくる
駄目を押す | だめをおす
手に余る | てにあまる
手をこまねく | てをこまねく
猫の手も借りたい | ねこのてもかりたい
根に持つ | ねにもつ
音を上げる | ねをあげる
一肌脱ぐ | ひとはだぬぐ
火に油を注ぐ | ひにあぶらをそそぐ
骨を折る | ほねをおる
眉をひそめる | まゆをひそめる
水に流す | みずにながす
身を粉にする | みをこにする
胸を借りる | むねをかりる
目から鱗が落ちる | めからうろこがおちる
元も子もない | もともこもない
槍玉に挙げる | やりだまにあげる
弱音を吐く | よわねをはく
脇目も振らず | わきめもふらず
襟を正す | えりをただす
尾ひれを付ける | おひれをつける
折り紙付き | おりがみつき
勝手が違う | かってがちがう
金に糸目をつけない | かねにいとめをつけない
気が気でない | きがきでない
さばを読む | さばをよむ
しのぎを削る | しのぎをけずる
地団駄を踏む | じだんだをふむ
先手を打つ | せんてをうつ
立つ瀬がない | たつせがない
付け焼き刃 | つけやきば
泣きを見る | なきをみる
なしのつぶて | なしのつぶて
抜き差しならない | ぬきさしならない
拍車をかける | はくしゃをかける
羽目を外す | はめをはずす
腑に落ちない | ふにおちない
棒に振る | ぼうにふる
的を射る | まとをいる
見栄を張る | みえをはる
虫がいい | むしがいい
目処が立つ | めどがたつ
横槍を入れる | よこやりをいれる
埒が明かない | らちがあかない
石の上にも三年 | いしのうえにもさんねん
石橋を叩いて渡る | いしばしをたたいてわたる
急がば回れ | いそがばまわれ
猿も木から落ちる | さるもきからおちる
弘法も筆の誤り | こうぼうもふでのあやまり
二兎を追う者は一兎をも得ず | にとをおうものはいっとをもえず
覆水盆に返らず | ふくすいぼんにかえらず
後の祭り | あとのまつり
焼け石に水 | やけいしにみず
雨降って地固まる | あめふってじかたまる
案ずるより産むが易し | あんずるよりうむがやすし
灯台下暗し | とうだいもとくらし
出る杭は打たれる | でるくいはうたれる
情けは人のためならず | なさけはひとのためならず
能ある鷹は爪を隠す | のうあるたかはつめをかくす
百聞は一見に如かず | ひゃくぶんはいっけんにしかず
塵も積もれば山となる | ちりもつもればやまとなる
転ばぬ先の杖 | ころばぬさきのつえ
身から出た錆 | みからでたさび
良薬は口に苦し | りょうやくはくちににがし
朱に交われば赤くなる | しゅにまじわればあかくなる
三人寄れば文殊の知恵 | さんにんよればもんじゅのちえ
泣きっ面に蜂 | なきっつらにはち
七転び八起き | ななころびやおき
馬の耳に念仏 | うまのみみにねんぶつ
のれんに腕押し | のれんにうでおし
ぬかに釘 | ぬかにくぎ
虻蜂取らず | あぶはちとらず
渡りに船 | わたりにふね
藪から棒 | やぶからぼう
藪蛇 | やぶへび
寝耳に水 | ねみみにみず
犬猿の仲 | けんえんのなか
井の中の蛙 | いのなかのかわず
嘘も方便 | うそもほうべん
鬼に金棒 | おににかなぼう
郷に入っては郷に従え | ごうにいってはごうにしたがえ
知らぬが仏 | しらぬがほとけ
備えあれば憂いなし | そなえあればうれいなし
立て板に水 | たていたにみず
