# theme: 문어·격식 표현
# unit: voca-n1-u022
謹白 | きんぱく
急啓 | きゅうけい
清祥 | せいしょう
健勝 | けんしょう
自愛 | じあい
小生 | しょうせい
拙著 | せっちょ
拙宅 | せったく
粗品 | そしな
寸志 | すんし
薄謝 | はくしゃ
芳名 | ほうめい
高覧 | こうらん
高配 | こうはい
愛顧 | あいこ
厚情 | こうじょう
来臨 | らいりん
臨席 | りんせき
列席 | れっせき
逝去 | せいきょ
永眠 | えいみん
冥福 | めいふく
哀悼 | あいとう
弔意 | ちょうい
慶事 | けいじ
弔事 | ちょうじ
謹呈 | きんてい
進呈 | しんてい
贈呈 | ぞうてい
拝受 | はいじゅ
拝読 | はいどく
拝借 | はいしゃく
拝聴 | はいちょう
拝察 | はいさつ
査収 | さしゅう
督促 | とくそく
容赦 | ようしゃ
斟酌 | しんしゃく
勘案 | かんあん
善処 | ぜんしょ
尽力 | じんりょく
衷心 | ちゅうしん
僭越 | せんえつ
愚見 | ぐけん
私見 | しけん
所感 | しょかん
忌憚 | きたん
懇切 | こんせつ
懇願 | こんがん
懇親 | こんしん
今般 | こんぱん
先般 | せんぱん
過日 | かじつ
昨今 | さっこん
明朝 | みょうちょう
当該 | とうがい
前述 | ぜんじゅつ
後述 | こうじゅつ
別途 | べっと
追って | おって
由 | よし
痛み入る | いたみいる
相成る | あいなる
若しくは | もしくは
且つ | かつ
並びに | ならびに
即ち | すなわち
然るべき | しかるべき
如何なる | いかなる
斯様 | かよう
否 | いな
如し | ごとし
由々しい | ゆゆしい
忝い | かたじけない
然らば | しからば
暫時 | ざんじ
敬白 | けいはく
貴兄 | きけい
拙稿 | せっこう
愚息 | ぐそく
令息 | れいそく
令嬢 | れいじょう
ご尊父 | ごそんぷ
ご母堂 | ごぼどう
笑納 | しょうのう
恐悦 | きょうえつ
謝意 | しゃい
拝眉 | はいび
拝承 | はいしょう
承服 | しょうふく
来駕 | らいが
光臨 | こうりん
不徳 | ふとく
不肖 | ふしょう
存ずる | ぞんずる
仰せ | おおせ
申し受ける | もうしうける
上申 | じょうしん
具申 | ぐしん
上梓 | じょうし
