# theme: 경제와 경기
# unit: voca-n2-u001
景気 | けいき
好況 | こうきょう
不況 | ふきょう
不景気 | ふけいき
物価 | ぶっか
高騰 | こうとう
下落 | げらく
暴落 | ぼうらく
横ばい | よこばい
低迷 | ていめい
停滞 | ていたい
需要 | じゅよう
供給 | きょうきゅう
生産性 | せいさんせい
所得 | しょとく
支出 | ししゅつ
収支 | しゅうし
赤字 | あかじ
黒字 | くろじ
財政 | ざいせい
金融 | きんゆう
為替 | かわせ
円高 | えんだか
円安 | えんやす
株価 | かぶか
株式 | かぶしき
投資 | とうし
融資 | ゆうし
損失 | そんしつ
利息 | りそく
金利 | きんり
預金 | よきん
貯蓄 | ちょちく
税率 | ぜいりつ
課税 | かぜい
免税 | めんぜい
資産 | しさん
資本 | しほん
資金 | しきん
負債 | ふさい
債務 | さいむ
倒産 | とうさん
破産 | はさん
失業 | しつぎょう
雇用 | こよう
賃金 | ちんぎん
インフレ | インフレ
デフレ | デフレ
バブル | バブル
地価 | ちか
浪費 | ろうひ
関税 | かんぜい
市場 | しじょう
相場 | そうば
統計 | とうけい
指標 | しひょう
見通し | みとおし
推移 | すいい
変動 | へんどう
縮小 | しゅくしょう
拡大 | かくだい
上回る | うわまわる
下回る | したまわる
伸び悩む | のびなやむ
持ち直す | もちなおす
頭打ち | あたまうち
好調 | こうちょう
不調 | ふちょう
貧困 | ひんこん
格差 | かくさ
生計 | せいけい
流通 | りゅうつう
品不足 | しなぶそく
収益 | しゅうえき
売上 | うりあげ
業績 | ぎょうせき
決算 | けっさん
財源 | ざいげん
通貨 | つうか
紙幣 | しへい
硬貨 | こうか
倍増 | ばいぞう
半減 | はんげん
激減 | げきげん
中小企業 | ちゅうしょうきぎょう
製造業 | せいぞうぎょう
物流 | ぶつりゅう
証券 | しょうけん
儲かる | もうかる
儲ける | もうける
稼ぐ | かせぐ
費やす | ついやす
賄う | まかなう
潤う | うるおう
恩恵 | おんけい
打撃 | だげき
波及 | はきゅう
緩やか | ゆるやか
急激 | きゅうげき
大幅 | おおはば
