# theme: 사회 문제 — 저출산·고령화
# unit: voca-n2-u003
少子化 | しょうしか
高齢化 | こうれいか
少子高齢化 | しょうしこうれいか
高齢者 | こうれいしゃ
高齢 | こうれい
高齢社会 | こうれいしゃかい
超高齢社会 | ちょうこうれいしゃかい
出生率 | しゅっしょうりつ
高齢出産 | こうれいしゅっさん
不妊 | ふにん
育児 | いくじ
子育て | こそだて
保育 | ほいく
保育園 | ほいくえん
待機児童 | たいきじどう
託児所 | たくじしょ
共働き | ともばたらき
晩婚 | ばんこん
晩婚化 | ばんこんか
未婚 | みこん
既婚 | きこん
婚活 | こんかつ
独身 | どくしん
核家族 | かくかぞく
世帯 | せたい
単身 | たんしん
人口減少 | じんこうげんしょう
過疎 | かそ
過疎化 | かそか
過密 | かみつ
都市化 | としか
若年層 | じゃくねんそう
世代 | せだい
次世代 | じせだい
現役世代 | げんえきせだい
労働力 | ろうどうりょく
人手不足 | ひとでぶそく
担い手 | にないて
後継者 | こうけいしゃ
年金 | ねんきん
老老介護 | ろうろうかいご
老後 | ろうご
老人 | ろうじん
老いる | おいる
平均寿命 | へいきんじゅみょう
長寿 | ちょうじゅ
定年 | ていねん
再雇用 | さいこよう
扶養 | ふよう
養う | やしなう
支え合う | ささえあう
負担 | ふたん
社会保障 | しゃかいほしょう
保険料 | ほけんりょう
税収 | ぜいしゅう
支援 | しえん
手当 | てあて
児童手当 | じどうてあて
給付 | きゅうふ
助成 | じょせい
補助 | ほじょ
奨励 | しょうれい
促進 | そくしん
歯止め | はどめ
深刻化 | しんこくか
対策 | たいさく
解消 | かいしょう
緩和 | かんわ
抑制 | よくせい
孤立 | こりつ
孤独死 | こどくし
独居 | どっきょ
引きこもり | ひきこもり
虐待 | ぎゃくたい
差別 | さべつ
偏見 | へんけん
男女平等 | だんじょびょうどう
育休 | いくきゅう
育児休業 | いくじきゅうぎょう
産休 | さんきゅう
両立 | りょうりつ
分担 | ぶんたん
待遇 | たいぐう
非正規 | ひせいき
正社員 | せいしゃいん
派遣 | はけん
就労 | しゅうろう
移民 | いみん
外国人労働者 | がいこくじんろうどうしゃ
受け入れ | うけいれ
多様化 | たようか
価値観 | かちかん
乳幼児 | にゅうようじ
乳児 | にゅうじ
幼児 | ようじ
児童 | じどう
空き家 | あきや
限界集落 | げんかいしゅうらく
地域社会 | ちいきしゃかい
生きがい | いきがい
