# theme: 정치와 행정
# unit: voca-n2-u004
政権 | せいけん
政党 | せいとう
与党 | よとう
野党 | やとう
与野党 | よやとう
連立 | れんりつ
派閥 | はばつ
内閣 | ないかく
首相 | しゅしょう
総理大臣 | そうりだいじん
閣僚 | かくりょう
国会 | こっかい
議会 | ぎかい
議員 | ぎいん
衆議院 | しゅうぎいん
参議院 | さんぎいん
議席 | ぎせき
総選挙 | そうせんきょ
選挙区 | せんきょく
投票率 | とうひょうりつ
開票 | かいひょう
棄権 | きけん
有権者 | ゆうけんしゃ
候補者 | こうほしゃ
立候補 | りっこうほ
当選 | とうせん
落選 | らくせん
得票 | とくひょう
公約 | こうやく
演説 | えんぜつ
世論 | よろん
支持率 | しじりつ
可決 | かけつ
否決 | ひけつ
採決 | さいけつ
審議 | しんぎ
法案 | ほうあん
改正 | かいせい
憲法 | けんぽう
政策 | せいさく
行政 | ぎょうせい
官庁 | かんちょう
省庁 | しょうちょう
役所 | やくしょ
役人 | やくにん
官僚 | かんりょう
自治体 | じちたい
地方自治 | ちほうじち
知事 | ちじ
都道府県 | とどうふけん
市町村 | しちょうそん
予算案 | よさんあん
税制 | ぜいせい
規制 | きせい
改革 | かいかく
民営化 | みんえいか
公共 | こうきょう
公的 | こうてき
国家 | こっか
国政 | こくせい
主権 | しゅけん
民主主義 | みんしゅしゅぎ
独裁 | どくさい
権力 | けんりょく
権威 | けんい
統治 | とうち
統制 | とうせい
行使 | こうし
外交 | がいこう
首脳 | しゅのう
首脳会談 | しゅのうかいだん
会談 | かいだん
条約 | じょうやく
同盟 | どうめい
紛争 | ふんそう
抗議 | こうぎ
デモ | デモ
陳情 | ちんじょう
請願 | せいがん
汚職 | おしょく
賄賂 | わいろ
辞任 | じにん
辞職 | じしょく
解散 | かいさん
任命 | にんめい
就任 | しゅうにん
任期 | にんき
後任 | こうにん
保守 | ほしゅ
革新 | かくしん
右派 | うは
左派 | さは
政界 | せいかい
委員会 | いいんかい
答弁 | とうべん
追及 | ついきゅう
表明 | ひょうめい
声明 | せいめい
推進 | すいしん
実施 | じっし
