# theme: 과학과 기술
# unit: voca-n2-u005
分析 | ぶんせき
解析 | かいせき
測定 | そくてい
計測 | けいそく
検証 | けんしょう
仮説 | かせつ
理論 | りろん
原理 | げんり
法則 | ほうそく
定義 | ていぎ
証明 | しょうめい
実証 | じっしょう
推論 | すいろん
物質 | ぶっしつ
元素 | げんそ
原子 | げんし
分子 | ぶんし
粒子 | りゅうし
化合物 | かごうぶつ
水素 | すいそ
炭素 | たんそ
窒素 | ちっそ
酸性 | さんせい
溶液 | ようえき
濃度 | のうど
密度 | みつど
圧力 | あつりょく
重力 | じゅうりょく
引力 | いんりょく
摩擦 | まさつ
磁気 | じき
電流 | でんりゅう
電圧 | でんあつ
電波 | でんぱ
周波数 | しゅうはすう
光線 | こうせん
放射線 | ほうしゃせん
細胞 | さいぼう
遺伝 | いでん
遺伝子 | いでんし
微生物 | びせいぶつ
進化 | しんか
培養 | ばいよう
顕微鏡 | けんびきょう
望遠鏡 | ぼうえんきょう
天体 | てんたい
惑星 | わくせい
衛星 | えいせい
人工衛星 | じんこうえいせい
軌道 | きどう
探査 | たんさ
打ち上げる | うちあげる
装置 | そうち
機器 | きき
精密 | せいみつ
精度 | せいど
性能 | せいのう
合成 | ごうせい
製造 | せいぞう
量産 | りょうさん
試作 | しさく
改良 | かいりょう
先端 | せんたん
最先端 | さいせんたん
技術革新 | ぎじゅつかくしん
自動化 | じどうか
人工知能 | じんこうちのう
通信 | つうしん
回路 | かいろ
半導体 | はんどうたい
蓄電池 | ちくでんち
端末 | たんまつ
制御 | せいぎょ
作動 | さどう
稼働 | かどう
不具合 | ふぐあい
誤差 | ごさ
数値 | すうち
比例 | ひれい
算出 | さんしゅつ
方程式 | ほうていしき
構造 | こうぞう
仕組み | しくみ
要因 | よういん
特性 | とくせい
膨張 | ぼうちょう
収縮 | しゅうしゅく
沸騰 | ふっとう
凝固 | ぎょうこ
結晶 | けっしょう
燃焼 | ねんしょう
特許 | とっきょ
普及 | ふきゅう
実用化 | じつようか
画期的 | かっきてき
飛躍的 | ひやくてき
高度 | こうど
学説 | がくせつ
研究者 | けんきゅうしゃ
論文 | ろんぶん
