# theme: 의료와 복지
# unit: voca-n2-u006
診療 | しんりょう
看護 | かんご
看病 | かんびょう
介助 | かいじょ
福祉 | ふくし
保健 | ほけん
検診 | けんしん
伝染 | でんせん
免疫 | めんえき
発病 | はつびょう
捻挫 | ねんざ
出血 | しゅっけつ
消化 | しょうか
炎症 | えんしょう
痺れる | しびれる
痒い | かゆい
全快 | ぜんかい
療養 | りょうよう
安静 | あんせい
見舞う | みまう
服用 | ふくよう
効き目 | ききめ
麻酔 | ますい
湿布 | しっぷ
病棟 | びょうとう
外来 | がいらい
産婦人科 | さんふじんか
応急手当 | おうきゅうてあて
衛生 | えいせい
殺菌 | さっきん
細菌 | さいきん
接種 | せっしゅ
体質 | たいしつ
慢性 | まんせい
急性 | きゅうせい
重症 | じゅうしょう
軽症 | けいしょう
容体 | ようだい
麻痺 | まひ
車椅子 | くるまいす
生活保護 | せいかつほご
医療費 | いりょうひ
寝たきり | ねたきり
カルテ | カルテ
心身 | しんしん
不眠 | ふみん
喫煙 | きつえん
臓器 | ぞうき
肝臓 | かんぞう
腎臓 | じんぞう
神経 | しんけい
献血 | けんけつ
移植 | いしょく
薬剤師 | やくざいし
保健所 | ほけんじょ
老化 | ろうか
衰える | おとろえる
介護保険 | かいごほけん
障害者 | しょうがいしゃ
担架 | たんか
患部 | かんぶ
胃腸 | いちょう
糖尿病 | とうにょうびょう
老人ホーム | ろうじんホーム
がん | がん
予後 | よご
付き添う | つきそう
治まる | おさまる
ぎっくり腰 | ぎっくりごし
入れ歯 | いれば
義足 | ぎそく
補聴器 | ほちょうき
聴覚 | ちょうかく
身体障害 | しんたいしょうがい
ヘルパー | ヘルパー
デイサービス | デイサービス
国民健康保険 | こくみんけんこうほけん
自己負担 | じこふたん
診療報酬 | しんりょうほうしゅう
介護士 | かいごし
医療機関 | いりょうきかん
救命 | きゅうめい
意識不明 | いしきふめい
失神 | しっしん
脳卒中 | のうそっちゅう
心筋梗塞 | しんきんこうそく
診断書 | しんだんしょ
解熱剤 | げねつざい
軟膏 | なんこう
食欲不振 | しょくよくふしん
初診 | しょしん
問診票 | もんしんひょう
要介護 | ようかいご
在宅介護 | ざいたくかいご
福祉施設 | ふくししせつ
社会福祉 | しゃかいふくし
生活習慣病 | せいかつしゅうかんびょう
うつ病 | うつびょう
精神科 | せいしんか
早期発見 | そうきはっけん
