# theme: 교육 제도
# unit: voca-n2-u007
義務教育 | ぎむきょういく
志願 | しがん
出願 | しゅつがん
学力 | がくりょく
学問 | がくもん
学術 | がくじゅつ
学科 | がっか
履修 | りしゅう
講師 | こうし
教員 | きょういん
教職 | きょうしょく
教頭 | きょうとう
高等学校 | こうとうがっこう
大学院 | だいがくいん
専門学校 | せんもんがっこう
短大 | たんだい
留年 | りゅうねん
進級 | しんきゅう
登校 | とうこう
下校 | げこう
不登校 | ふとうこう
校則 | こうそく
課外 | かがい
教科 | きょうか
教材 | きょうざい
カリキュラム | カリキュラム
指導 | しどう
育成 | いくせい
養成 | ようせい
習得 | しゅうとく
読解 | どっかい
卒論 | そつろん
通知表 | つうちひょう
選抜 | せんばつ
文部科学省 | もんぶかがくしょう
教育委員会 | きょういくいいんかい
公立 | こうりつ
共学 | きょうがく
研修 | けんしゅう
実習 | じっしゅう
講座 | こうざ
聴講 | ちょうこう
生涯学習 | しょうがいがくしゅう
教養 | きょうよう
素質 | そしつ
自主性 | じしゅせい
協調性 | きょうちょうせい
しつけ | しつけ
学級 | がっきゅう
学級崩壊 | がっきゅうほうかい
恩師 | おんし
母校 | ぼこう
校舎 | こうしゃ
教壇 | きょうだん
始業式 | しぎょうしき
学園祭 | がくえんさい
学位 | がくい
修士 | しゅうし
詰め込み | つめこみ
落第 | らくだい
補習 | ほしゅう
自習 | じしゅう
独学 | どくがく
教え子 | おしえご
設問 | せつもん
朗読 | ろうどく
筆記 | ひっき
実技 | じつぎ
入学試験 | にゅうがくしけん
入学金 | にゅうがくきん
必修 | ひっしゅう
選択科目 | せんたくかもく
学部生 | がくぶせい
卒業論文 | そつぎょうろんぶん
博士 | はかせ
准教授 | じゅんきょうじゅ
保護者 | ほごしゃ
私立 | しりつ
国立 | こくりつ
新学期 | しんがっき
部活動 | ぶかつどう
体罰 | たいばつ
停学 | ていがく
編入 | へんにゅう
在籍 | ざいせき
学生証 | がくせいしょう
内申書 | ないしんしょ
試験範囲 | しけんはんい
予習 | よしゅう
復習 | ふくしゅう
丸暗記 | まるあんき
教育課程 | きょういくかてい
学習指導要領 | がくしゅうしどうようりょう
ゆとり教育 | ゆとりきょういく
教育費 | きょういくひ
留学 | りゅうがく
交換留学 | こうかんりゅうがく
オープンキャンパス | オープンキャンパス
シラバス | シラバス
講堂 | こうどう
