# theme: 미디어와 정보
# unit: voca-n2-u008
取材 | しゅざい
社説 | しゃせつ
評論 | ひょうろん
視聴 | しちょう
視聴者 | しちょうしゃ
視聴率 | しちょうりつ
生放送 | なまほうそう
中継 | ちゅうけい
実況 | じっきょう
号外 | ごうがい
特集 | とくしゅう
連載 | れんさい
掲載 | けいさい
投稿 | とうこう
発信 | はっしん
受信 | じゅしん
送信 | そうしん
拡散 | かくさん
炎上 | えんじょう
閲覧 | えつらん
検索 | けんさく
情報源 | じょうほうげん
出典 | しゅってん
引用 | いんよう
著作権 | ちょさくけん
匿名 | とくめい
実名 | じつめい
個人情報 | こじんじょうほう
流出 | りゅうしゅつ
誤報 | ごほう
デマ | デマ
風評 | ふうひょう
報じる | ほうじる
公開 | こうかい
会見 | かいけん
記者会見 | きしゃかいけん
発言 | はつげん
言論 | げんろん
検閲 | けんえつ
報道陣 | ほうどうじん
出版 | しゅっぱん
刊行 | かんこう
発行 | はっこう
週刊誌 | しゅうかんし
月刊 | げっかん
朝刊 | ちょうかん
夕刊 | ゆうかん
紙面 | しめん
記載 | きさい
編集 | へんしゅう
校正 | こうせい
原稿 | げんこう
執筆 | しっぴつ
著者 | ちょしゃ
筆者 | ひっしゃ
読者 | どくしゃ
購読 | こうどく
広報 | こうほう
放映 | ほうえい
字幕 | じまく
吹き替え | ふきかえ
解説 | かいせつ
評論家 | ひょうろんか
キャスター | キャスター
アナウンサー | アナウンサー
メディア | メディア
マスコミ | マスコミ
ジャーナリスト | ジャーナリスト
インタビュー | インタビュー
スクープ | スクープ
ブログ | ブログ
アップロード | アップロード
情報化 | じょうほうか
回線 | かいせん
映像 | えいぞう
録画 | ろくが
録音 | ろくおん
収録 | しゅうろく
媒体 | ばいたい
伝達 | でんたつ
周知 | しゅうち
告知 | こくち
通知 | つうち
真偽 | しんぎ
誇張 | こちょう
偏り | かたより
客観的 | きゃっかんてき
主観的 | しゅかんてき
中立 | ちゅうりつ
信頼性 | しんらいせい
暴露 | ばくろ
流行語 | りゅうこうご
反響 | はんきょう
世間 | せけん
大衆 | たいしゅう
芸能人 | げいのうじん
著名 | ちょめい
制作 | せいさく
放送局 | ほうそうきょく
更新 | こうしん
