# theme: 환경과 에너지
# unit: voca-n2-u009
環境破壊 | かんきょうはかい
排出 | はいしゅつ
排水 | はいすい
大気 | たいき
悪臭 | あくしゅう
有害 | ゆうがい
有毒 | ゆうどく
化学物質 | かがくぶっしつ
廃棄物 | はいきぶつ
処分 | しょぶん
再生 | さいせい
化石燃料 | かせきねんりょう
石油 | せきゆ
石炭 | せきたん
天然ガス | てんねんガス
原油 | げんゆ
発電所 | はつでんしょ
原子力 | げんしりょく
火力 | かりょく
水力 | すいりょく
風力 | ふうりょく
再生可能 | さいせいかのう
生態系 | せいたいけい
保全 | ほぜん
伐採 | ばっさい
砂漠化 | さばくか
干ばつ | かんばつ
酸性雨 | さんせいう
オゾン層 | オゾンそう
海面 | かいめん
氷河 | ひょうが
温室効果 | おんしつこうか
削減 | さくげん
持続 | じぞく
持続可能 | じぞくかのう
循環 | じゅんかん
分解 | ぶんかい
蓄積 | ちくせき
放射能 | ほうしゃのう
鉱物 | こうぶつ
生ごみ | なまごみ
埋め立て | うめたて
焼却 | しょうきゃく
汚水 | おすい
下水 | げすい
土壌 | どじょう
ソーラー | ソーラー
ダム | ダム
エコバッグ | エコバッグ
使い捨て | つかいすて
野生 | やせい
動植物 | どうしょくぶつ
生息 | せいそく
繁殖 | はんしょく
人工 | じんこう
乱開発 | らんかいはつ
緑化 | りょっか
植林 | しょくりん
異変 | いへん
枯渇 | こかつ
尽きる | つきる
浄化 | じょうか
濁る | にごる
澄む | すむ
腐る | くさる
電気自動車 | でんきじどうしゃ
悪影響 | あくえいきょう
地熱 | ちねつ
冷暖房 | れいだんぼう
気候変動 | きこうへんどう
自然保護 | しぜんほご
絶滅危惧種 | ぜつめつきぐしゅ
熱帯雨林 | ねったいうりん
清掃 | せいそう
排気 | はいき
光化学スモッグ | こうかがくスモッグ
微粒子 | びりゅうし
排出量 | はいしゅつりょう
ガソリン | ガソリン
灯油 | とうゆ
燃やす | もやす
電池 | でんち
充電 | じゅうでん
消費量 | しょうひりょう
自然エネルギー | しぜんエネルギー
バイオマス | バイオマス
容器 | ようき
瓶 | びん
資源ごみ | しげんごみ
不法投棄 | ふほうとうき
投棄 | とうき
海洋 | かいよう
沿岸 | えんがん
干潟 | ひがた
湿地 | しっち
珊瑚礁 | さんごしょう
生物多様性 | せいぶつたようせい
食物連鎖 | しょくもつれんさ
温室効果ガス | おんしつこうかガス
脱炭素 | だつたんそ
