# theme: 법과 계약
# unit: voca-n2-u010
法令 | ほうれい
条例 | じょうれい
規定 | きてい
規約 | きやく
条項 | じょうこう
条文 | じょうぶん
契約書 | けいやくしょ
解約 | かいやく
違法 | いほう
合法 | ごうほう
捜索 | そうさく
起訴 | きそ
裁判所 | さいばんしょ
裁判官 | さいばんかん
弁護士 | べんごし
弁護 | べんご
検察 | けんさつ
検事 | けんじ
被告 | ひこく
原告 | げんこく
訴える | うったえる
訴訟 | そしょう
有罪 | ゆうざい
無罪 | むざい
刑罰 | けいばつ
懲役 | ちょうえき
死刑 | しけい
処罰 | しょばつ
罰する | ばっする
賠償 | ばいしょう
補償 | ほしょう
保証人 | ほしょうにん
所有 | しょゆう
財産 | ざいさん
相続 | そうぞく
遺産 | いさん
遺言 | ゆいごん
捺印 | なついん
押印 | おういん
印鑑 | いんかん
実印 | じついん
同意 | どうい
解除 | かいじょ
無効 | むこう
満了 | まんりょう
違約金 | いやくきん
借金 | しゃっきん
返済 | へんさい
滞納 | たいのう
窃盗 | せっとう
被害届 | ひがいとどけ
届け出 | とどけで
申請 | しんせい
認可 | にんか
登記 | とうき
公正 | こうせい
公平 | こうへい
正当 | せいとう
不当 | ふとう
施行 | しこう
制定 | せいてい
廃止 | はいし
適用 | てきよう
該当 | がいとう
但し書き | ただしがき
法的 | ほうてき
司法 | しほう
取り締まる | とりしまる
取り調べ | とりしらべ
釈放 | しゃくほう
前科 | ぜんか
時効 | じこう
示談 | じだん
和解 | わかい
仲裁 | ちゅうさい
商標 | しょうひょう
刑務所 | けいむしょ
暴行 | ぼうこう
万引き | まんびき
記名 | きめい
期日 | きじつ
違約 | いやく
債権 | さいけん
連帯保証人 | れんたいほしょうにん
賃貸借 | ちんたいしゃく
権利侵害 | けんりしんがい
侵す | おかす
守秘義務 | しゅひぎむ
秘密保持 | ひみつほじ
法改正 | ほうかいせい
弁償 | べんしょう
損害賠償 | そんがいばいしょう
名義 | めいぎ
代理人 | だいりにん
委任状 | いにんじょう
委任 | いにん
合意書 | ごういしょ
覚書 | おぼえがき
約款 | やっかん
免責 | めんせき
