# theme: 복합동사 심화
# unit: voca-n2-u013
取り組む | とりくむ
取り扱う | とりあつかう
取り戻す | とりもどす
取り除く | とりのぞく
取り入れる | とりいれる
取り残す | とりのこす
取り巻く | とりまく
取り次ぐ | とりつぐ
取り掛かる | とりかかる
取り付ける | とりつける
取り外す | とりはずす
引き起こす | ひきおこす
引き上げる | ひきあげる
引き下げる | ひきさげる
引き止める | ひきとめる
引き継ぐ | ひきつぐ
引き締める | ひきしめる
引き取る | ひきとる
引き渡す | ひきわたす
引き寄せる | ひきよせる
引き抜く | ひきぬく
打ち合わせる | うちあわせる
打ち消す | うちけす
打ち切る | うちきる
打ち解ける | うちとける
打ち出す | うちだす
見落とす | みおとす
見逃す | みのがす
見積もる | みつもる
見下ろす | みおろす
見極める | みきわめる
見届ける | みとどける
見渡す | みわたす
見抜く | みぬく
見失う | みうしなう
見過ごす | みすごす
追い求める | おいもとめる
追い払う | おいはらう
追い抜く | おいぬく
言い張る | いいはる
言い換える | いいかえる
言い渡す | いいわたす
言い聞かせる | いいきかせる
思い詰める | おもいつめる
思い浮かべる | おもいうかべる
繰り上げる | くりあげる
繰り広げる | くりひろげる
組み立てる | くみたてる
組み合わせる | くみあわせる
組み込む | くみこむ
差し引く | さしひく
差し掛かる | さしかかる
差し控える | さしひかえる
立ち直る | たちなおる
立ち寄る | たちよる
立ち去る | たちさる
立ち向かう | たちむかう
立ち会う | たちあう
突き当たる | つきあたる
突き止める | つきとめる
呼び掛ける | よびかける
呼び止める | よびとめる
振り返る | ふりかえる
振り向く | ふりむく
振り回す | ふりまわす
書き留める | かきとめる
聞き逃す | ききのがす
押し付ける | おしつける
押し寄せる | おしよせる
乗り越える | のりこえる
待ち望む | まちのぞむ
受け入れる | うけいれる
受け止める | うけとめる
受け継ぐ | うけつぐ
付け加える | つけくわえる
切り替える | きりかえる
切り捨てる | きりすてる
切り詰める | きりつめる
切り抜ける | きりぬける
行き詰まる | ゆきづまる
行き届く | いきとどく
使いこなす | つかいこなす
割り当てる | わりあてる
盛り上がる | もりあがる
盛り込む | もりこむ
問い合わせる | といあわせる
問い詰める | といつめる
使い分ける | つかいわける
立て直す | たてなおす
当てはまる | あてはまる
取り決める | とりきめる
取り乱す | とりみだす
引き下がる | ひきさがる
引きずる | ひきずる
見習う | みならう
見定める | みさだめる
見放す | みはなす
追いつく | おいつく
言い逃れる | いいのがれる
思い立つ | おもいたつ
