# theme: 부사 — 次第に·一向に
# unit: voca-n2-u016
一向に | いっこうに
着々と | ちゃくちゃくと
敢えて | あえて
あくまで | あくまで
予め | あらかじめ
幾分 | いくぶん
言わば | いわば
概ね | おおむね
極めて | きわめて
現に | げんに
殊に | ことに
再三 | さいさん
さほど | さほど
直に | じかに
至って | いたって
しきりに | しきりに
始終 | しじゅう
総じて | そうじて
即座に | そくざに
断じて | だんじて
一際 | ひときわ
到底 | とうてい
時折 | ときおり
取り分け | とりわけ
何とも | なんとも
なおさら | なおさら
尚 | なお
ひたすら | ひたすら
一先ず | ひとまず
一通り | ひととおり
不意に | ふいに
ふと | ふと
正に | まさに
万一 | まんいち
自ら | みずから
無論 | むろん
専ら | もっぱら
最早 | もはや
元々 | もともと
やがて | やがて
漸く | ようやく
要するに | ようするに
余程 | よほど
一概に | いちがいに
延々と | えんえんと
今更 | いまさら
案の定 | あんのじょう
依然として | いぜんとして
随時 | ずいじ
終始 | しゅうし
順次 | じゅんじ
いずれ | いずれ
いっそ | いっそ
大方 | おおかた
却って | かえって
辛うじて | かろうじて
強いて | しいて
とかく | とかく
断然 | だんぜん
概して | がいして
果たして | はたして
決まって | きまって
何ら | なんら
さぞ | さぞ
一挙に | いっきょに
一律に | いちりつに
相次いで | あいついで
引き続き | ひきつづき
続々と | ぞくぞくと
着実に | ちゃくじつに
大幅に | おおはばに
若干 | じゃっかん
存分に | ぞんぶんに
つくづく | つくづく
元来 | がんらい
近々 | ちかぢか
日に日に | ひにひに
稀に | まれに
突如 | とつじょ
急遽 | きゅうきょ
途端に | とたんに
格段に | かくだんに
極力 | きょくりょく
努めて | つとめて
漠然と | ばくぜんと
あいにく | あいにく
やたらに | やたらに
今に | いまに
かねて | かねて
さぞかし | さぞかし
ついでに | ついでに
何となく | なんとなく
何とか | なんとか
残らず | のこらず
はるかに | はるかに
ひとりでに | ひとりでに
まして | まして
自然と | しぜんと
真っ先に | まっさきに
もっとも | もっとも
