# theme: 관용구 — 신체 부위
# unit: voca-n2-u017
頭が上がらない | あたまがあがらない
頭に来る | あたまにくる
頭を抱える | あたまをかかえる
頭を冷やす | あたまをひやす
頭が切れる | あたまがきれる
頭が固い | あたまがかたい
頭が下がる | あたまがさがる
頭をひねる | あたまをひねる
顔が広い | かおがひろい
顔を出す | かおをだす
顔に泥を塗る | かおにどろをぬる
顔が利く | かおがきく
顔を立てる | かおをたてる
顔から火が出る | かおからひがでる
顔色をうかがう | かおいろをうかがう
目がない | めがない
目が高い | めがたかい
目に余る | めにあまる
目を通す | めをとおす
目をつぶる | めをつぶる
目を離す | めをはなす
目を引く | めをひく
目が回る | めがまわる
目に浮かぶ | めにうかぶ
目を疑う | めをうたがう
目と鼻の先 | めとはなのさき
目を丸くする | めをまるくする
目を光らせる | めをひからせる
目に留まる | めにとまる
目からうろこが落ちる | めからうろこがおちる
長い目で見る | ながいめでみる
大目に見る | おおめにみる
白い目で見る | しろいめでみる
耳が痛い | みみがいたい
耳にする | みみにする
耳を傾ける | みみをかたむける
耳を疑う | みみをうたがう
耳が早い | みみがはやい
耳に挟む | みみにはさむ
耳にたこができる | みみにたこができる
鼻が高い | はながたかい
鼻にかける | はなにかける
鼻につく | はなにつく
鼻であしらう | はなであしらう
口を出す | くちをだす
口を挟む | くちをはさむ
口に合う | くちにあう
口が滑る | くちがすべる
口を揃える | くちをそろえる
口を利く | くちをきく
口車に乗る | くちぐるまにのる
舌を巻く | したをまく
歯が立たない | はがたたない
首を長くする | くびをながくする
首をかしげる | くびをかしげる
首を突っ込む | くびをつっこむ
首が回らない | くびがまわらない
首になる | くびになる
肩を持つ | かたをもつ
肩を落とす | かたをおとす
肩の荷が下りる | かたのにがおりる
肩を並べる | かたをならべる
肩身が狭い | かたみがせまい
胸を張る | むねをはる
胸が痛む | むねがいたむ
胸を打つ | むねをうつ
胸に刻む | むねにきざむ
胸をなで下ろす | むねをなでおろす
胸が躍る | むねがおどる
腹を割る | はらをわる
腹が黒い | はらがくろい
腹を決める | はらをきめる
腰が低い | こしがひくい
腰を抜かす | こしをぬかす
腰が重い | こしがおもい
本腰を入れる | ほんごしをいれる
手を焼く | てをやく
手が足りない | てがたりない
手を貸す | てをかす
手を抜く | てをぬく
手を打つ | てをうつ
手に負えない | てにおえない
手が離せない | てがはなせない
手を引く | てをひく
手を尽くす | てをつくす
手が届く | てがとどく
手に汗を握る | てにあせをにぎる
手も足も出ない | てもあしもでない
手を組む | てをくむ
手が込む | てがこむ
手間がかかる | てまがかかる
手を広げる | てをひろげる
足を運ぶ | あしをはこぶ
足が出る | あしがでる
足を洗う | あしをあらう
足を引っ張る | あしをひっぱる
足が棒になる | あしがぼうになる
足元を見る | あしもとをみる
二の足を踏む | にのあしをふむ
揚げ足を取る | あげあしをとる
