# theme: 경어 — 비즈니스 메일
# unit: voca-n2-u019
前略 | ぜんりゃく
草々 | そうそう
謹啓 | きんけい
拝復 | はいふく
追伸 | ついしん
再送 | さいそう
返送 | へんそう
ご厚志 | ごこうし
申し伝える | もうしつたえる
申し添える | もうしそえる
賜る | たまわる
ご栄転 | ごえいてん
貴殿 | きでん
各位 | かくい
御中 | おんちゅう
ご査収 | ごさしゅう
ご検討 | ごけんとう
ご高配 | ごこうはい
ご愛顧 | ごあいこ
ご厚情 | ごこうじょう
ご清栄 | ごせいえい
ご健勝 | ごけんしょう
ご多忙 | ごたぼう
ご多用 | ごたよう
ご容赦 | ごようしゃ
ご了承 | ごりょうしょう
ご承知 | ごしょうち
ご指導 | ごしどう
ご鞭撻 | ごべんたつ
ご指摘 | ごしてき
ご不便 | ごふべん
ご一報 | ごいっぽう
ご返答 | ごへんとう
ご依頼 | ごいらい
ご要望 | ごようぼう
ご来社 | ごらいしゃ
ご来訪 | ごらいほう
ご臨席 | ごりんせき
ご自愛 | ごじあい
ご尽力 | ごじんりょく
ご配慮 | ごはいりょ
ご手配 | ごてはい
ご送付 | ごそうふ
ご教示 | ごきょうじ
送付 | そうふ
添付 | てんぷ
同封 | どうふう
別添 | べってん
下記 | かき
上記 | じょうき
件名 | けんめい
宛先 | あてさき
差出人 | さしだしにん
転送 | てんそう
取り急ぎ | とりいそぎ
略儀 | りゃくぎ
書中 | しょちゅう
時下 | じか
平素 | へいそ
重ねて | かさねて
陳謝 | ちんしゃ
深謝 | しんしゃ
ご覧に入れる | ごらんにいれる
お引き立て | おひきたて
お力添え | おちからぞえ
お手すき | おてすき
お取り計らい | おとりはからい
お含みおき | おふくみおき
折り返し | おりかえし
失念 | しつねん
不手際 | ふてぎわ
行き違い | ゆきちがい
所存 | しょぞん
旨 | むね
幸甚 | こうじん
受領 | じゅりょう
快諾 | かいだく
取り計らう | とりはからう
差し替える | さしかえる
末筆 | まっぴつ
明日 | みょうにち
後日 | ごじつ
近日中 | きんじつちゅう
早急 | さっきゅう
ご一読 | ごいちどく
ご用命 | ごようめい
ご放念 | ごほうねん
ご笑納 | ごしょうのう
ご意向 | ごいこう
ご入金 | ごにゅうきん
小社 | しょうしゃ
見積書 | みつもりしょ
納品書 | のうひんしょ
今後とも | こんごとも
貴信 | きしん
ご返信 | ごへんしん
ご回答 | ごかいとう
ご来場 | ごらいじょう
ご変更 | ごへんこう
ご記入 | ごきにゅう
