# theme: 뉴스 기초 — 사건·사고
# unit: voca-n3-u001
事件 | じけん
犯人 | はんにん
犯罪 | はんざい
逮捕 | たいほ
警察官 | けいさつかん
容疑者 | ようぎしゃ
被害 | ひがい
被害者 | ひがいしゃ
加害者 | かがいしゃ
強盗 | ごうとう
盗む | ぬすむ
盗難 | とうなん
殺人 | さつじん
火災 | かさい
消防 | しょうぼう
消防車 | しょうぼうしゃ
救助 | きゅうじょ
救う | すくう
追う | おう
追いかける | おいかける
衝突 | しょうとつ
ぶつかる | ぶつかる
ぶつける | ぶつける
負傷 | ふしょう
死亡 | しぼう
重傷 | じゅうしょう
軽傷 | けいしょう
行方不明 | ゆくえふめい
行方 | ゆくえ
発生 | はっせい
原因 | げんいん
調査 | ちょうさ
捜査 | そうさ
目撃 | もくげき
証拠 | しょうこ
証言 | しょうげん
証人 | しょうにん
現場 | げんば
通報 | つうほう
報道 | ほうどう
記事 | きじ
記者 | きしゃ
見出し | みだし
速報 | そくほう
情報 | じょうほう
津波 | つなみ
災害 | さいがい
被災 | ひさい
避難 | ひなん
爆発 | ばくはつ
崩れる | くずれる
燃える | もえる
煙 | けむり
炎 | ほのお
防ぐ | ふせぐ
防犯 | ぼうはん
詐欺 | さぎ
騙す | だます
犯す | おかす
罪 | つみ
罰 | ばつ
罰金 | ばっきん
違反 | いはん
裁判 | さいばん
判決 | はんけつ
事情 | じじょう
状況 | じょうきょう
騒ぎ | さわぎ
暴れる | あばれる
暴力 | ぼうりょく
襲う | おそう
悲鳴 | ひめい
犠牲 | ぎせい
偶然 | ぐうぜん
転落 | てんらく
墜落 | ついらく
沈む | しずむ
停電 | ていでん
断水 | だんすい
脱線 | だっせん
信号無視 | しんごうむし
飲酒運転 | いんしゅうんてん
パトカー | パトカー
サイレン | サイレン
ガス漏れ | ガスもれ
警告 | けいこく
警報 | けいほう
警備 | けいび
監視 | かんし
防止 | ぼうし
不審 | ふしん
怪しい | あやしい
犯行 | はんこう
動機 | どうき
自首 | じしゅ
事実 | じじつ
真相 | しんそう
判明 | はんめい
公表 | こうひょう
損害 | そんがい
