# theme: 건강과 의료
# unit: voca-n3-u005
健康診断 | けんこうしんだん
診断 | しんだん
通院 | つういん
医師 | いし
処方 | しょほう
腹痛 | ふくつう
腰痛 | ようつう
便秘 | べんぴ
発熱 | はつねつ
血液 | けつえき
脈 | みゃく
呼吸 | こきゅう
肺 | はい
筋肉 | きんにく
皮膚 | ひふ
関節 | かんせつ
傷口 | きずぐち
点滴 | てんてき
予防接種 | よぼうせっしゅ
ワクチン | ワクチン
感染 | かんせん
うつる | うつる
うつす | うつす
花粉症 | かふんしょう
消毒 | しょうどく
うがい | うがい
休養 | きゅうよう
疲労 | ひろう
疲れ | つかれ
ストレス | ストレス
体調 | たいちょう
回復 | かいふく
悪化 | あっか
しびれる | しびれる
効く | きく
効果 | こうか
副作用 | ふくさよう
錠剤 | じょうざい
飲み薬 | のみぐすり
塗り薬 | ぬりぐすり
サプリメント | サプリメント
カロリー | カロリー
肥満 | ひまん
持病 | じびょう
歯科 | しか
救急 | きゅうきゅう
健康保険 | けんこうほけん
診察券 | しんさつけん
待合室 | まちあいしつ
受診 | じゅしん
リハビリ | リハビリ
介護 | かいご
障害 | しょうがい
運動不足 | うんどうぶそく
生活習慣 | せいかつしゅうかん
寿命 | じゅみょう
妊娠 | にんしん
出産 | しゅっさん
視力 | しりょく
震える | ふるえる
意識 | いしき
カウンセリング | カウンセリング
食欲 | しょくよく
熱中症 | ねっちゅうしょう
貧血 | ひんけつ
血管 | けっかん
腸 | ちょう
絆創膏 | ばんそうこう
痒み | かゆみ
気絶 | きぜつ
咳止め | せきどめ
痛み止め | いたみどめ
胃薬 | いぐすり
病名 | びょうめい
見舞い | みまい
面会 | めんかい
医療 | いりょう
健診 | けんしん
肩こり | かたこり
虫刺され | むしさされ
しゃっくり | しゃっくり
発作 | ほっさ
打撲 | だぼく
むくむ | むくむ
息切れ | いきぎれ
体格 | たいかく
脳 | のう
歯茎 | はぐき
医院 | いいん
診療所 | しんりょうじょ
総合病院 | そうごうびょういん
主治医 | しゅじい
専門医 | せんもんい
血液検査 | けつえきけんさ
レントゲン | レントゲン
ギプス | ギプス
過労 | かろう
寝不足 | ねぶそく
睡眠不足 | すいみんぶそく
風邪気味 | かぜぎみ
