# theme: 쇼핑과 소비 — 할인·반품
# unit: voca-n3-u006
値引き | ねびき
返品 | へんぴん
定価 | ていか
価格 | かかく
税込み | ぜいこみ
税抜き | ぜいぬき
消費税 | しょうひぜい
消費 | しょうひ
消費者 | しょうひしゃ
購入 | こうにゅう
支払う | しはらう
領収書 | りょうしゅうしょ
請求書 | せいきゅうしょ
代金 | だいきん
送料 | そうりょう
半額 | はんがく
特売 | とくばい
商品 | しょうひん
在庫 | ざいこ
品切れ | しなぎれ
売り切れ | うりきれ
売れ行き | うれゆき
値上がり | ねあがり
値下がり | ねさがり
値上げ | ねあげ
値下げ | ねさげ
高価 | こうか
格安 | かくやす
お得 | おとく
節約 | せつやく
無駄遣い | むだづかい
無駄 | むだ
出費 | しゅっぴ
家計 | かけい
小遣い | こづかい
保証 | ほしょう
保証書 | ほしょうしょ
不良品 | ふりょうひん
取り替える | とりかえる
取り寄せる | とりよせる
宅配 | たくはい
包装 | ほうそう
レジ袋 | レジぶくろ
有効 | ゆうこう
有効期限 | ゆうこうきげん
賞味期限 | しょうみきげん
限定 | げんてい
新品 | しんぴん
中古 | ちゅうこ
品質 | ひんしつ
製品 | せいひん
商店街 | しょうてんがい
行列 | ぎょうれつ
閉店 | へいてん
開店 | かいてん
定休日 | ていきゅうび
返金 | へんきん
払い戻し | はらいもどし
払い戻す | はらいもどす
合計 | ごうけい
金額 | きんがく
差額 | さがく
見本 | みほん
試着 | しちゃく
試食 | ししょく
流行る | はやる
評判 | ひょうばん
口コミ | くちコミ
通販 | つうはん
販売 | はんばい
手数料 | てすうりょう
会員 | かいいん
クーポン | クーポン
セール | セール
バーゲン | バーゲン
レシート | レシート
クレジットカード | クレジットカード
ブランド | ブランド
メーカー | メーカー
チラシ | チラシ
広告 | こうこく
宣伝 | せんでん
お買い得 | おかいどく
衝動買い | しょうどうがい
買い替える | かいかえる
景品 | けいひん
おまけ | おまけ
福袋 | ふくぶくろ
値打ち | ねうち
分割払い | ぶんかつばらい
着払い | ちゃくばらい
クレーム | クレーム
引き換え | ひきかえ
商品券 | しょうひんけん
割引券 | わりびきけん
国産 | こくさん
輸入品 | ゆにゅうひん
素材 | そざい
手ごろ | てごろ
百貨店 | ひゃっかてん
