# theme: 교통과 이동
# unit: voca-n3-u007
交通機関 | こうつうきかん
渋滞 | じゅうたい
乗り越す | のりこす
乗り過ごす | のりすごす
乗り遅れる | のりおくれる
乗車 | じょうしゃ
下車 | げしゃ
途中下車 | とちゅうげしゃ
乗客 | じょうきゃく
車内 | しゃない
車両 | しゃりょう
車掌 | しゃしょう
運賃 | うんちん
定期券 | ていきけん
回数券 | かいすうけん
座席 | ざせき
優先席 | ゆうせんせき
空席 | くうせき
各駅停車 | かくえきていしゃ
快速 | かいそく
終電 | しゅうでん
始発 | しはつ
終点 | しゅうてん
路線 | ろせん
線路 | せんろ
改札口 | かいさつぐち
窓口 | まどぐち
発車 | はっしゃ
遅延 | ちえん
運休 | うんきゅう
見合わせる | みあわせる
満員 | まんいん
ラッシュ | ラッシュ
駐車 | ちゅうしゃ
駐輪場 | ちゅうりんじょう
歩道 | ほどう
車道 | しゃどう
踏切 | ふみきり
歩道橋 | ほどうきょう
通行 | つうこう
通行止め | つうこうどめ
一方通行 | いっぽうつうこう
右折 | うせつ
左折 | させつ
直進 | ちょくしん
曲がり角 | まがりかど
突き当たり | つきあたり
行き止まり | いきどまり
道路 | どうろ
高速道路 | こうそくどうろ
車線 | しゃせん
速度 | そくど
追い越す | おいこす
停車 | ていしゃ
停止 | ていし
徐行 | じょこう
免許 | めんきょ
免許証 | めんきょしょう
駐車違反 | ちゅうしゃいはん
燃料 | ねんりょう
停留所 | ていりゅうじょ
航空券 | こうくうけん
便 | びん
欠航 | けっこう
搭乗 | とうじょう
離陸 | りりく
着陸 | ちゃくりく
機内 | きない
手荷物 | てにもつ
経由 | けいゆ
目的地 | もくてきち
方面 | ほうめん
近道 | ちかみち
遠回り | とおまわり
回り道 | まわりみち
所要時間 | しょようじかん
乗り継ぎ | のりつぎ
通過 | つうか
シートベルト | シートベルト
ヘルメット | ヘルメット
バイク | バイク
ハンドル | ハンドル
ブレーキ | ブレーキ
カーナビ | カーナビ
パンク | パンク
車庫 | しゃこ
輸送 | ゆそう
徒歩 | とほ
歩行者 | ほこうしゃ
大通り | おおどおり
乗り物酔い | のりものよい
つり革 | つりかわ
網棚 | あみだな
上り | のぼり
下り | くだり
番線 | ばんせん
切符売り場 | きっぷうりば
券売機 | けんばいき
運転席 | うんてんせき
助手席 | じょしゅせき
