# theme: 주거와 이웃
# unit: voca-n3-u008
住宅 | じゅうたく
住まい | すまい
家賃 | やちん
敷金 | しききん
礼金 | れいきん
大家 | おおや
不動産 | ふどうさん
賃貸 | ちんたい
物件 | ぶっけん
間取り | まどり
引っ越し | ひっこし
転居 | てんきょ
入居 | にゅうきょ
一戸建て | いっこだて
団地 | だんち
寮 | りょう
屋根 | やね
天井 | てんじょう
床 | ゆか
壁 | かべ
柱 | はしら
畳 | たたみ
物置 | ものおき
洗濯物 | せんたくもの
干す | ほす
ベランダ | ベランダ
塀 | へい
雨戸 | あまど
合鍵 | あいかぎ
設備 | せつび
家具 | かぐ
家電 | かでん
電気代 | でんきだい
水道 | すいどう
光熱費 | こうねつひ
管理費 | かんりひ
騒音 | そうおん
苦情 | くじょう
隣近所 | となりきんじょ
近所付き合い | きんじょづきあい
住民 | じゅうみん
住人 | じゅうにん
町内会 | ちょうないかい
自治会 | じちかい
回覧板 | かいらんばん
地元 | じもと
ゴミ出し | ゴミだし
可燃ごみ | かねんごみ
不燃ごみ | ふねんごみ
粗大ごみ | そだいごみ
分別 | ぶんべつ
収集 | しゅうしゅう
掲示板 | けいじばん
共用 | きょうよう
空き巣 | あきす
戸締まり | とじまり
消火器 | しょうかき
日当たり | ひあたり
風通し | かぜとおし
カビ | カビ
掃除機 | そうじき
片付け | かたづけ
収納 | しゅうのう
散らかる | ちらかる
散らかす | ちらかす
模様替え | もようがえ
家事 | かじ
住み心地 | すみごこち
住宅街 | じゅうたくがい
郊外 | こうがい
最寄り駅 | もよりえき
新築 | しんちく
リフォーム | リフォーム
屋上 | おくじょう
和室 | わしつ
洋室 | ようしつ
居間 | いま
寝室 | しんしつ
浴室 | よくしつ
洗面所 | せんめんじょ
蛇口 | じゃぐち
流し | ながし
換気扇 | かんきせん
換気 | かんき
電球 | でんきゅう
コンセント | コンセント
カーペット | カーペット
引き出し | ひきだし
敷く | しく
暮らす | くらす
暮らし | くらし
一人暮らし | ひとりぐらし
同居 | どうきょ
足音 | あしおと
物音 | ものおと
響く | ひびく
鳴き声 | なきごえ
留守番 | るすばん
郵便受け | ゆうびんうけ
オートロック | オートロック
