# theme: 환경과 날씨
# unit: voca-n3-u009
天候 | てんこう
気候 | きこう
湿度 | しつど
湿気 | しっけ
快晴 | かいせい
晴天 | せいてん
雨天 | うてん
小雨 | こさめ
大雨 | おおあめ
豪雨 | ごうう
梅雨明け | つゆあけ
にわか雨 | にわかあめ
夕立 | ゆうだち
雷雨 | らいう
嵐 | あらし
暴風 | ぼうふう
強風 | きょうふう
吹雪 | ふぶき
大雪 | おおゆき
積もる | つもる
霜 | しも
溶ける | とける
湿る | しめる
乾燥 | かんそう
蒸発 | じょうはつ
気圧 | きあつ
低気圧 | ていきあつ
高気圧 | こうきあつ
前線 | ぜんせん
寒波 | かんぱ
猛暑 | もうしょ
真夏日 | まなつび
熱帯夜 | ねったいや
異常気象 | いじょうきしょう
気象 | きしょう
予報 | よほう
注意報 | ちゅういほう
降水確率 | こうすいかくりつ
止む | やむ
肌寒い | はださむい
日差し | ひざし
日光 | にっこう
日陰 | ひかげ
日焼け | ひやけ
紫外線 | しがいせん
四季 | しき
花粉 | かふん
温暖化 | おんだんか
地球温暖化 | ちきゅうおんだんか
環境 | かんきょう
汚染 | おせん
大気汚染 | たいきおせん
排気ガス | はいきガス
二酸化炭素 | にさんかたんそ
資源 | しげん
省エネ | しょうエネ
エネルギー | エネルギー
太陽光 | たいようこう
発電 | はつでん
電力 | でんりょく
節電 | せつでん
節水 | せっすい
再利用 | さいりよう
リサイクル | リサイクル
エコ | エコ
廃棄 | はいき
生ゴミ | なまゴミ
プラスチック | プラスチック
マイバッグ | マイバッグ
森林 | しんりん
生物 | せいぶつ
絶滅 | ぜつめつ
保護 | ほご
洪水 | こうずい
土砂崩れ | どしゃくずれ
噴火 | ふんか
火山 | かざん
避難所 | ひなんじょ
防災 | ぼうさい
備える | そなえる
砂漠 | さばく
最高気温 | さいこうきおん
最低気温 | さいていきおん
平年 | へいねん
観測 | かんそく
記録的 | きろくてき
上昇 | じょうしょう
低下 | ていか
酸素 | さんそ
水不足 | みずぶそく
雨上がり | あめあがり
雨宿り | あまやどり
長靴 | ながぐつ
雨漏り | あまもり
風向き | かぜむき
晴れ間 | はれま
雪崩 | なだれ
落雷 | らくらい
公害 | こうがい
水質 | すいしつ
