# theme: 취미와 여가
# unit: voca-n3-u010
余暇 | よか
祝日 | しゅくじつ
行楽 | こうらく
観光地 | かんこうち
日帰り | ひがえり
宿泊 | しゅくはく
民宿 | みんしゅく
露天風呂 | ろてんぶろ
登山 | とざん
釣り | つり
キャンプ | キャンプ
ハイキング | ハイキング
園芸 | えんげい
ガーデニング | ガーデニング
家庭菜園 | かていさいえん
手芸 | しゅげい
編み物 | あみもの
編む | あむ
裁縫 | さいほう
陶芸 | とうげい
生け花 | いけばな
茶道 | さどう
書道 | しょどう
将棋 | しょうぎ
囲碁 | いご
絵画 | かいが
彫刻 | ちょうこく
展覧会 | てんらんかい
展示 | てんじ
鑑賞 | かんしょう
演奏 | えんそう
楽器 | がっき
合唱 | がっしょう
演劇 | えんげき
芝居 | しばい
舞台 | ぶたい
観客 | かんきゃく
客席 | きゃくせき
公演 | こうえん
入場券 | にゅうじょうけん
入場料 | にゅうじょうりょう
水族館 | すいぞくかん
花火 | はなび
花見 | はなみ
紅葉 | こうよう
紅葉狩り | もみじがり
夏祭り | なつまつり
盆踊り | ぼんおどり
撮影 | さつえい
動画 | どうが
配信 | はいしん
アニメ | アニメ
コレクション | コレクション
手品 | てじな
模型 | もけい
プラモデル | プラモデル
体操 | たいそう
水泳 | すいえい
競技 | きょうぎ
応援 | おうえん
観戦 | かんせん
優勝 | ゆうしょう
引き分け | ひきわけ
勝負 | しょうぶ
ジョギング | ジョギング
マラソン | マラソン
ヨガ | ヨガ
ジム | ジム
サイクリング | サイクリング
スノーボード | スノーボード
カラオケ | カラオケ
熱中 | ねっちゅう
気晴らし | きばらし
息抜き | いきぬき
暇つぶし | ひまつぶし
サークル | サークル
同好会 | どうこうかい
習い事 | ならいごと
稽古 | けいこ
腕前 | うでまえ
素人 | しろうと
玄人 | くろうと
初心者 | しょしんしゃ
催し | もよおし
イベント | イベント
遠足 | えんそく
旅先 | たびさき
名物 | めいぶつ
眺め | ながめ
眺める | ながめる
見晴らし | みはらし
展望台 | てんぼうだい
満喫 | まんきつ
くつろぐ | くつろぐ
リラックス | リラックス
夜更かし | よふかし
昼寝 | ひるね
俳句 | はいく
上映 | じょうえい
俳優 | はいゆう
