# theme: 복합동사 — 〜出す·〜込む
# unit: voca-n3-u013
言い出す | いいだす
泣き出す | なきだす
笑い出す | わらいだす
走り出す | はしりだす
動き出す | うごきだす
降り出す | ふりだす
飛び出す | とびだす
取り出す | とりだす
追い出す | おいだす
呼び出す | よびだす
持ち出す | もちだす
逃げ出す | にげだす
抜け出す | ぬけだす
引き出す | ひきだす
生み出す | うみだす
作り出す | つくりだす
書き出す | かきだす
歌い出す | うたいだす
踏み出す | ふみだす
見出す | みいだす
探し出す | さがしだす
選び出す | えらびだす
投げ出す | なげだす
吹き出す | ふきだす
溢れ出す | あふれだす
流れ出す | ながれだす
乗り出す | のりだす
突き出す | つきだす
押し出す | おしだす
差し出す | さしだす
貸し出す | かしだす
売り出す | うりだす
聞き出す | ききだす
考え出す | かんがえだす
飛び込む | とびこむ
払い込む | はらいこむ
振り込む | ふりこむ
書き込む | かきこむ
詰め込む | つめこむ
押し込む | おしこむ
追い込む | おいこむ
落ち込む | おちこむ
座り込む | すわりこむ
寝込む | ねこむ
黙り込む | だまりこむ
考え込む | かんがえこむ
思い込む | おもいこむ
信じ込む | しんじこむ
話し込む | はなしこむ
使い込む | つかいこむ
煮込む | にこむ
取り込む | とりこむ
持ち込む | もちこむ
入り込む | はいりこむ
割り込む | わりこむ
乗り込む | のりこむ
駆け込む | かけこむ
逃げ込む | にげこむ
流れ込む | ながれこむ
吸い込む | すいこむ
飲み込む | のみこむ
差し込む | さしこむ
突っ込む | つっこむ
冷え込む | ひえこむ
打ち込む | うちこむ
見込む | みこむ
引っ込む | ひっこむ
溶け込む | とけこむ
巻き込む | まきこむ
閉じ込める | とじこめる
呼び込む | よびこむ
踏み込む | ふみこむ
読み込む | よみこむ
譲り合う | ゆずりあう
分け合う | わけあう
言い合う | いいあう
向かい合う | むかいあう
使い切る | つかいきる
売り切れる | うりきれる
締め切る | しめきる
思い切る | おもいきる
張り切る | はりきる
疲れ切る | つかれきる
言い切る | いいきる
乗り切る | のりきる
やり直す | やりなおす
書き直す | かきなおす
見直す | みなおす
考え直す | かんがえなおす
読み直す | よみなおす
出直す | でなおす
繰り返す | くりかえす
読み返す | よみかえす
言い返す | いいかえす
取り返す | とりかえす
引き返す | ひきかえす
思い返す | おもいかえす
裏返す | うらがえす
取り上げる | とりあげる
持ち上げる | もちあげる
