# theme: 부사 — 모양과 정도
# unit: voca-n3-u016
相当 | そうとう
割に | わりに
割と | わりと
少々 | しょうしょう
やや | やや
多少 | たしょう
ほぼ | ほぼ
およそ | およそ
最も | もっとも
一層 | いっそう
ぐっと | ぐっと
一段と | いちだんと
よほど | よほど
大いに | おおいに
余計 | よけい
あまりにも | あまりにも
少しも | すこしも
必ずしも | かならずしも
まるで | まるで
いかにも | いかにも
実に | じつに
案外 | あんがい
意外に | いがいに
次第に | しだいに
徐々に | じょじょに
いきなり | いきなり
直ちに | ただちに
早速 | さっそく
たちまち | たちまち
一斉に | いっせいに
互いに | たがいに
共に | ともに
別々に | べつべつに
とにかく | とにかく
ともかく | ともかく
わざわざ | わざわざ
思わず | おもわず
せっかく | せっかく
あえて | あえて
一応 | いちおう
たびたび | たびたび
しばしば | しばしば
絶えず | たえず
再び | ふたたび
改めて | あらためて
相変わらず | あいかわらず
未だに | いまだに
既に | すでに
とっくに | とっくに
いよいよ | いよいよ
ようやく | ようやく
結局 | けっきょく
そのうち | そのうち
いつの間にか | いつのまにか
今にも | いまにも
前もって | まえもって
あらかじめ | あらかじめ
当分 | とうぶん
恐らく | おそらく
どうやら | どうやら
もしかすると | もしかすると
さすが | さすが
やはり | やはり
やっぱり | やっぱり
なんとなく | なんとなく
なんとか | なんとか
どうか | どうか
どうしても | どうしても
せめて | せめて
少なくとも | すくなくとも
たとえ | たとえ
仮に | かりに
主に | おもに
単に | たんに
何しろ | なにしろ
むしろ | むしろ
かえって | かえって
逆に | ぎゃくに
大して | たいして
ろくに | ろくに
ほんの | ほんの
わずか | わずか
精一杯 | せいいっぱい
思い切り | おもいきり
思い切って | おもいきって
一気に | いっきに
次々 | つぎつぎ
交互に | こうごに
一切 | いっさい
丸ごと | まるごと
すっかり | すっかり
もともと | もともと
確かに | たしかに
まさか | まさか
まさに | まさに
ひとまず | ひとまず
とりあえず | とりあえず
一旦 | いったん
どうせ | どうせ
せいぜい | せいぜい
