# theme: 조수사와 단위
# unit: voca-n3-u019
一軒 | いっけん
三軒 | さんげん
一足 | いっそく
三足 | さんぞく
一着 | いっちゃく
一膳 | いちぜん
一粒 | ひとつぶ
一箱 | ひとはこ
三杯 | さんばい
六匹 | ろっぴき
三匹 | さんびき
三本 | さんぼん
八本 | はっぽん
一羽 | いちわ
三羽 | さんば
一頭 | いっとう
一通 | いっつう
一件 | いっけん
一品 | ひとしな
一切れ | ひときれ
一口 | ひとくち
一滴 | いってき
一組 | ひとくみ
一行 | いちぎょう
一段 | いちだん
一周 | いっしゅう
一泊 | いっぱく
三泊 | さんぱく
一曲 | いっきょく
一点 | いってん
一票 | いっぴょう
一戸 | いっこ
一人前 | いちにんまえ
一丁目 | いっちょうめ
一か月 | いっかげつ
数量 | すうりょう
個数 | こすう
枚数 | まいすう
人数 | にんずう
件数 | けんすう
回数 | かいすう
台数 | だいすう
冊数 | さっすう
部数 | ぶすう
桁 | けた
倍 | ばい
割 | わり
小数 | しょうすう
整数 | せいすう
奇数 | きすう
偶数 | ぐうすう
約 | やく
未満 | みまん
最小 | さいしょう
面積 | めんせき
体積 | たいせき
重量 | じゅうりょう
重さ | おもさ
長さ | ながさ
深さ | ふかさ
幅 | はば
高さ | たかさ
厚さ | あつさ
大きさ | おおきさ
寸法 | すんぽう
目盛り | めもり
温度 | おんど
秒 | びょう
番目 | ばんめ
号 | ごう
段 | だん
階建て | かいだて
丁目 | ちょうめ
番地 | ばんち
世紀 | せいき
年代 | ねんだい
周 | しゅう
度 | ど
何倍 | なんばい
何割 | なんわり
数 | かず
数字 | すうじ
量 | りょう
分量 | ぶんりょう
容量 | ようりょう
坪 | つぼ
畳 | じょう
合 | ごう
平方メートル | へいほうメートル
立方メートル | りっぽうメートル
キロ | キロ
キログラム | キログラム
キロメートル | キロメートル
メートル | メートル
センチ | センチ
センチメートル | センチメートル
ミリ | ミリ
グラム | グラム
トン | トン
リットル | リットル
