# theme: 문맥 규정 빈출 — 헷갈리는 유의어
# unit: voca-n3-u020
余る | あまる
覚める | さめる
延びる | のびる
伸ばす | のばす
過ごす | すごす
達する | たっする
馴染む | なじむ
整える | ととのえる
蓄える | たくわえる
貯める | ためる
溜まる | たまる
務める | つとめる
努める | つとめる
測る | はかる
量る | はかる
解ける | とける
離れる | はなれる
離す | はなす
放す | はなす
逃す | のがす
避ける | さける
保つ | たもつ
抑える | おさえる
押さえる | おさえる
収める | おさめる
納める | おさめる
治める | おさめる
映る | うつる
写る | うつる
替える | かえる
換える | かえる
代わる | かわる
通じる | つうじる
超える | こえる
越える | こえる
増す | ます
加える | くわえる
減らす | へらす
縮む | ちぢむ
縮める | ちぢめる
深まる | ふかまる
高まる | たかまる
広まる | ひろまる
広げる | ひろげる
広がる | ひろがる
求める | もとめる
与える | あたえる
得る | える
失う | うしなう
占める | しめる
迎える | むかえる
招く | まねく
認める | みとめる
争う | あらそう
競う | きそう
当てる | あてる
当たる | あたる
恵まれる | めぐまれる
含む | ふくむ
含める | ふくめる
除く | のぞく
省く | はぶく
略す | りゃくす
補う | おぎなう
満ちる | みちる
満たす | みたす
欠ける | かける
欠かす | かかす
劣る | おとる
優れる | すぐれる
異なる | ことなる
詳しい | くわしい
細かい | こまかい
鋭い | するどい
鈍い | にぶい
緩い | ゆるい
きつい | きつい
濃い | こい
適当 | てきとう
適切 | てきせつ
確実 | かくじつ
明確 | めいかく
曖昧 | あいまい
容易 | ようい
手軽 | てがる
気軽 | きがる
身近 | みぢか
快適 | かいてき
豊か | ゆたか
盛ん | さかん
傷む | いたむ
供える | そなえる
絞る | しぼる
搾る | しぼる
薦める | すすめる
表す | あらわす
現す | あらわす
捜す | さがす
誤る | あやまる
暖める | あたためる
