# theme: 일상 동작 — 자동사·타동사 쌍
# unit: voca-n4-u001
上がる | あがる
上げる | あげる
下がる | さがる
下げる | さげる
集まる | あつまる
集める | あつめる
動く | うごく
動かす | うごかす
移る | うつる
移す | うつす
起こる | おこる
起こす | おこす
落ちる | おちる
落とす | おとす
折れる | おれる
折る | おる
変わる | かわる
変える | かえる
決まる | きまる
決める | きめる
壊れる | こわれる
壊す | こわす
育つ | そだつ
育てる | そだてる
足りる | たりる
足す | たす
建つ | たつ
建てる | たてる
続く | つづく
続ける | つづける
付く | つく
付ける | つける
伝わる | つたわる
伝える | つたえる
通す | とおす
止める | とめる
直る | なおる
直す | なおす
逃げる | にげる
逃がす | にがす
残る | のこる
残す | のこす
冷える | ひえる
冷やす | ひやす
増える | ふえる
増やす | ふやす
回る | まわる
回す | まわす
見つかる | みつかる
見つける | みつける
戻す | もどす
焼ける | やける
汚れる | よごれる
汚す | よごす
割れる | われる
割る | わる
揺れる | ゆれる
揺らす | ゆらす
沸く | わく
沸かす | わかす
片付く | かたづく
片付ける | かたづける
倒れる | たおれる
倒す | たおす
乾く | かわく
乾かす | かわかす
破れる | やぶれる
破る | やぶる
外れる | はずれる
外す | はずす
捕まる | つかまる
捕まえる | つかまえる
届く | とどく
届ける | とどける
揃う | そろう
揃える | そろえる
助かる | たすかる
助ける | たすける
冷める | さめる
冷ます | さます
温まる | あたたまる
温める | あたためる
濡れる | ぬれる
濡らす | ぬらす
混ざる | まざる
混ぜる | まぜる
泊まる | とまる
泊める | とめる
鳴る | なる
鳴らす | ならす
流れる | ながれる
流す | ながす
済む | すむ
済ませる | すませる
掛かる | かかる
繋がる | つながる
繋ぐ | つなぐ
曲げる | まげる
下ろす | おろす
聞こえる | きこえる
