# theme: 몸과 병원 — 증상·건강
# unit: voca-n4-u003
首 | くび
喉 | のど
背中 | せなか
腕 | うで
指 | ゆび
爪 | つめ
胸 | むね
腰 | こし
肩 | かた
髪 | かみ
骨 | ほね
血 | ち
舌 | した
膝 | ひざ
肘 | ひじ
心臓 | しんぞう
胃 | い
肌 | はだ
汗 | あせ
息 | いき
力 | ちから
顔色 | かおいろ
体重 | たいじゅう
身長 | しんちょう
体温 | たいおん
熱 | ねつ
風邪 | かぜ
咳 | せき
鼻水 | はなみず
頭痛 | ずつう
怪我 | けが
傷 | きず
火傷 | やけど
骨折 | こっせつ
虫歯 | むしば
下痢 | げり
吐き気 | はきけ
寒気 | さむけ
めまい | めまい
くしゃみ | くしゃみ
かゆい | かゆい
痛み | いたみ
だるい | だるい
苦しい | くるしい
気分 | きぶん
具合 | ぐあい
調子 | ちょうし
症状 | しょうじょう
入院 | にゅういん
退院 | たいいん
手術 | しゅじゅつ
注射 | ちゅうしゃ
検査 | けんさ
診察 | しんさつ
治療 | ちりょう
看護師 | かんごし
患者 | かんじゃ
歯医者 | はいしゃ
内科 | ないか
外科 | げか
眼科 | がんか
耳鼻科 | じびか
小児科 | しょうにか
皮膚科 | ひふか
救急車 | きゅうきゅうしゃ
保険証 | ほけんしょう
保険 | ほけん
処方箋 | しょほうせん
薬局 | やっきょく
目薬 | めぐすり
風邪薬 | かぜぐすり
包帯 | ほうたい
体温計 | たいおんけい
マスク | マスク
予防 | よぼう
健康 | けんこう
太る | ふとる
痩せる | やせる
治る | なおる
治す | なおす
痛む | いたむ
腫れる | はれる
吐く | はく
眠る | ねむる
睡眠 | すいみん
運動 | うんどう
食事 | しょくじ
栄養 | えいよう
亡くなる | なくなる
命 | いのち
危険 | きけん
アレルギー | アレルギー
インフルエンザ | インフルエンザ
ウイルス | ウイルス
ダイエット | ダイエット
ビタミン | ビタミン
お見舞い | おみまい
手当て | てあて
血圧 | けつあつ
体力 | たいりょく
