# theme: 여행과 계획 — 예약·준비
# unit: voca-n4-u004
旅館 | りょかん
予約 | よやく
予定 | よてい
計画 | けいかく
準備 | じゅんび
用意 | ようい
支度 | したく
出発 | しゅっぱつ
到着 | とうちゃく
飛行場 | ひこうじょう
港 | みなと
特急 | とっきゅう
急行 | きゅうこう
新幹線 | しんかんせん
指定席 | していせき
自由席 | じゆうせき
片道 | かたみち
往復 | おうふく
乗り換え | のりかえ
乗り物 | のりもの
乗車券 | じょうしゃけん
時刻表 | じこくひょう
案内 | あんない
案内所 | あんないじょ
観光 | かんこう
見物 | けんぶつ
名所 | めいしょ
お土産 | おみやげ
スーツケース | スーツケース
パスポート | パスポート
両替 | りょうがえ
海外 | かいがい
国際 | こくさい
交通 | こうつう
駐車場 | ちゅうしゃじょう
ガソリンスタンド | ガソリンスタンド
運転 | うんてん
事故 | じこ
故障 | こしょう
温泉 | おんせん
山登り | やまのぼり
宿 | やど
料金 | りょうきん
無料 | むりょう
割引 | わりびき
現金 | げんきん
レンタカー | レンタカー
申し込む | もうしこむ
申し込み | もうしこみ
取り消す | とりけす
キャンセル | キャンセル
選ぶ | えらぶ
楽しみ | たのしみ
楽しむ | たのしむ
見学 | けんがく
忘れ物 | わすれもの
落とし物 | おとしもの
迷う | まよう
探す | さがす
地方 | ちほう
田舎 | いなか
都会 | とかい
県 | けん
文化 | ぶんか
歴史 | れきし
神社 | じんじゃ
寺 | てら
城 | しろ
遊園地 | ゆうえんち
日程 | にってい
週末 | しゅうまつ
連休 | れんきゅう
休暇 | きゅうか
向かう | むかう
寄る | よる
途中 | とちゅう
方向 | ほうこう
行き先 | いきさき
目的 | もくてき
見送る | みおくる
迎え | むかえ
席 | せき
窓側 | まどがわ
通路 | つうろ
満席 | まんせき
空く | あく
込む | こむ
駅弁 | えきべん
旅 | たび
ツアー | ツアー
ガイド | ガイド
フロント | フロント
チェックイン | チェックイン
チェックアウト | チェックアウト
反対 | はんたい
見送り | みおくり
出迎える | でむかえる
ビザ | ビザ
市 | し
手続き | てつづき
