# theme: 생활 규칙 — 허가·금지·부탁
# unit: voca-n4-u006
規則 | きそく
決まり | きまり
ルール | ルール
禁止 | きんし
禁煙 | きんえん
許可 | きょか
守る | まもる
注意 | ちゅうい
お願い | おねがい
断る | ことわる
遠慮 | えんりょ
構う | かまう
だめ | だめ
いけない | いけない
関係 | かんけい
気をつける | きをつける
駐車禁止 | ちゅうしゃきんし
捨てる | すてる
騒ぐ | さわぐ
うるさい | うるさい
謝る | あやまる
警察 | けいさつ
横断歩道 | おうだんほどう
法律 | ほうりつ
以外 | いがい
以内 | いない
以上 | いじょう
以下 | いか
自由 | じゆう
勝手 | かって
特別 | とくべつ
お知らせ | おしらせ
知らせる | しらせる
伝言 | でんごん
触る | さわる
入場 | にゅうじょう
有料 | ゆうりょう
賛成 | さんせい
意見 | いけん
理由 | りゆう
訳 | わけ
場合 | ばあい
制服 | せいふく
校長 | こうちょう
管理人 | かんりにん
飼う | かう
灰皿 | はいざら
携帯電話 | けいたいでんわ
マナー | マナー
くださる | くださる
結構 | けっこう
無理 | むり
仕方 | しかた
安全 | あんぜん
火事 | かじ
非常口 | ひじょうぐち
使用中 | しようちゅう
営業中 | えいぎょうちゅう
立入禁止 | たちいりきんし
順番 | じゅんばん
お年寄り | おとしより
預ける | あずける
預かる | あずかる
お礼 | おれい
大切 | たいせつ
大事 | だいじ
黙る | だまる
列 | れつ
拾う | ひろう
飲食 | いんしょく
喫煙所 | きつえんじょ
禁じる | きんじる
注意書き | ちゅういがき
看板 | かんばん
張り紙 | はりがみ
表示 | ひょうじ
深夜 | しんや
邪魔 | じゃま
よろしい | よろしい
代わり | かわり
手伝い | てつだい
返却 | へんきゃく
譲る | ゆずる
電源 | でんげん
マナーモード | マナーモード
館内 | かんない
土足 | どそく
服装 | ふくそう
許し | ゆるし
清潔 | せいけつ
確かめる | たしかめる
させる | させる
泥棒 | どろぼう
外出 | がいしゅつ
門限 | もんげん
絶対 | ぜったい
お断り | おことわり
立ち入る | たちいる
持ち物 | もちもの
勧める | すすめる
