# theme: 학교와 공부 — 교실과 물건
# unit: voca-n5-u003
学校 | がっこう
大学 | だいがく
大学生 | だいがくせい
高校 | こうこう
中学校 | ちゅうがっこう
小学校 | しょうがっこう
教室 | きょうしつ
クラス | クラス
学生 | がくせい
生徒 | せいと
留学生 | りゅうがくせい
図書館 | としょかん
勉強 | べんきょう
会話 | かいわ
宿題 | しゅくだい
授業 | じゅぎょう
練習 | れんしゅう
文 | ぶん
質問 | しつもん
筆箱 | ふでばこ
問題 | もんだい
答え | こたえ
答える | こたえる
テスト | テスト
試験 | しけん
日本語 | にほんご
英語 | えいご
外国語 | がいこくご
言葉 | ことば
字 | じ
漢字 | かんじ
ひらがな | ひらがな
カタカナ | カタカナ
文章 | ぶんしょう
作文 | さくぶん
意味 | いみ
読み方 | よみかた
本 | ほん
教科書 | きょうかしょ
辞書 | じしょ
字引 | じびき
ノート | ノート
紙 | かみ
鉛筆 | えんぴつ
ペン | ペン
ボールペン | ボールペン
万年筆 | まんねんひつ
消しゴム | けしゴム
机 | つくえ
黒板 | こくばん
鞄 | かばん
ページ | ページ
絵 | え
写真 | しゃしん
新聞 | しんぶん
雑誌 | ざっし
手紙 | てがみ
葉書 | はがき
封筒 | ふうとう
テープ | テープ
眼鏡 | めがね
ハンカチ | ハンカチ
ポケット | ポケット
コピー | コピー
はさみ | はさみ
パソコン | パソコン
色 | いろ
白い | しろい
黒い | くろい
赤い | あかい
青い | あおい
黄色い | きいろい
茶色 | ちゃいろ
緑 | みどり
読む | よむ
書く | かく
聞く | きく
話す | はなす
言う | いう
教える | おしえる
習う | ならう
覚える | おぼえる
忘れる | わすれる
分かる | わかる
知る | しる
使う | つかう
作る | つくる
出す | だす
見せる | みせる
貸す | かす
借りる | かりる
返す | かえす
並ぶ | ならぶ
並べる | ならべる
座る | すわる
立つ | たつ
休む | やすむ
遊ぶ | あそぶ
押す | おす
引く | ひく
