# theme: 음식과 가게 — 먹고 사기
# unit: voca-n5-u004
食べ物 | たべもの
飲み物 | のみもの
ご飯 | ごはん
朝ご飯 | あさごはん
昼ご飯 | ひるごはん
晩ご飯 | ばんごはん
料理 | りょうり
肉 | にく
牛肉 | ぎゅうにく
豚肉 | ぶたにく
鶏肉 | とりにく
魚 | さかな
卵 | たまご
野菜 | やさい
果物 | くだもの
りんご | りんご
みかん | みかん
バナナ | バナナ
パン | パン
お米 | おこめ
バター | バター
牛乳 | ぎゅうにゅう
ミルク | ミルク
水 | みず
お茶 | おちゃ
紅茶 | こうちゃ
コーヒー | コーヒー
ジュース | ジュース
お酒 | おさけ
ビール | ビール
お菓子 | おかし
ケーキ | ケーキ
アイスクリーム | アイスクリーム
砂糖 | さとう
塩 | しお
醤油 | しょうゆ
カレー | カレー
すし | すし
天ぷら | てんぷら
そば | そば
うどん | うどん
お弁当 | おべんとう
サンドイッチ | サンドイッチ
スープ | スープ
サラダ | サラダ
箸 | はし
茶碗 | ちゃわん
コップ | コップ
皿 | さら
スプーン | スプーン
フォーク | フォーク
ナイフ | ナイフ
カップ | カップ
グラス | グラス
甘い | あまい
辛い | からい
美味しい | おいしい
まずい | まずい
熱い | あつい
冷たい | つめたい
温かい | あたたかい
食べる | たべる
飲む | のむ
買う | かう
売る | うる
払う | はらう
焼く | やく
空く | すく
いっぱい | いっぱい
店 | みせ
八百屋 | やおや
パン屋 | パンや
本屋 | ほんや
花屋 | はなや
喫茶店 | きっさてん
食堂 | しょくどう
レストラン | レストラン
デパート | デパート
スーパー | スーパー
コンビニ | コンビニ
売り場 | うりば
お金 | おかね
円 | えん
いくら | いくら
値段 | ねだん
高い | たかい
安い | やすい
財布 | さいふ
買い物 | かいもの
お客さん | おきゃくさん
店員 | てんいん
袋 | ふくろ
箱 | はこ
物 | もの
ください | ください
お釣り | おつり
レジ | レジ
服 | ふく
洋服 | ようふく
靴 | くつ
