# theme: 집과 하루 — 방·가구·일과
# unit: voca-n5-u005
家 | いえ
うち | うち
部屋 | へや
台所 | だいどころ
玄関 | げんかん
風呂 | ふろ
お風呂 | おふろ
トイレ | トイレ
お手洗い | おてあらい
庭 | にわ
門 | もん
窓 | まど
戸 | と
ドア | ドア
階段 | かいだん
廊下 | ろうか
二階 | にかい
アパート | アパート
マンション | マンション
建物 | たてもの
椅子 | いす
ベッド | ベッド
本棚 | ほんだな
棚 | たな
テーブル | テーブル
電気 | でんき
テレビ | テレビ
ラジオ | ラジオ
冷蔵庫 | れいぞうこ
ストーブ | ストーブ
エアコン | エアコン
電話 | でんわ
時計 | とけい
カレンダー | カレンダー
カーテン | カーテン
鍵 | かぎ
布団 | ふとん
石鹸 | せっけん
タオル | タオル
歯ブラシ | はブラシ
シャワー | シャワー
鏡 | かがみ
押し入れ | おしいれ
花瓶 | かびん
ごみ | ごみ
上 | うえ
下 | した
中 | なか
外 | そと
隣 | となり
横 | よこ
洗濯 | せんたく
洗濯機 | せんたくき
掃除 | そうじ
スリッパ | スリッパ
散歩 | さんぽ
目覚まし時計 | めざましどけい
起きる | おきる
寝る | ねる
洗う | あらう
浴びる | あびる
磨く | みがく
出かける | でかける
帰る | かえる
住む | すむ
入る | はいる
出る | でる
置く | おく
開ける | あける
閉める | しめる
開く | あく
閉まる | しまる
つける | つける
消す | けす
待つ | まつ
見る | みる
入れる | いれる
掛ける | かける
暗い | くらい
明るい | あかるい
狭い | せまい
広い | ひろい
汚い | きたない
きれい | きれい
静か | しずか
便利 | べんり
不便 | ふべん
暇 | ひま
忙しい | いそがしい
眠い | ねむい
疲れる | つかれる
朝寝坊 | あさねぼう
夜中 | よなか
午前中 | ごぜんちゅう
生活 | せいかつ
一日中 | いちにちじゅう
ペット | ペット
新しい | あたらしい
古い | ふるい
ソファー | ソファー
