# theme: 교통과 장소 — 역·길·방향
# unit: voca-n5-u006
駅 | えき
道 | みち
電車 | でんしゃ
地下鉄 | ちかてつ
バス | バス
タクシー | タクシー
車 | くるま
自動車 | じどうしゃ
自転車 | じてんしゃ
飛行機 | ひこうき
空港 | くうこう
船 | ふね
切符 | きっぷ
乗る | のる
降りる | おりる
乗り換える | のりかえる
右 | みぎ
左 | ひだり
後ろ | うしろ
近く | ちかく
側 | そば
間 | あいだ
向こう | むこう
東 | ひがし
西 | にし
南 | みなみ
北 | きた
こっち | こっち
そっち | そっち
あっち | あっち
どっち | どっち
こちら | こちら
そちら | そちら
あちら | あちら
どちら | どちら
ここ | ここ
そこ | そこ
あそこ | あそこ
どこ | どこ
交差点 | こうさてん
角 | かど
橋 | はし
信号 | しんごう
通り | とおり
渡る | わたる
曲がる | まがる
歩く | あるく
走る | はしる
止まる | とまる
着く | つく
出口 | でぐち
入口 | いりぐち
地図 | ちず
町 | まち
村 | むら
所 | ところ
場所 | ばしょ
銀行 | ぎんこう
郵便局 | ゆうびんきょく
病院 | びょういん
大使館 | たいしかん
交番 | こうばん
公園 | こうえん
映画館 | えいがかん
美術館 | びじゅつかん
博物館 | はくぶつかん
動物園 | どうぶつえん
ホテル | ホテル
プール | プール
ビル | ビル
ポスト | ポスト
エレベーター | エレベーター
エスカレーター | エスカレーター
地下 | ちか
遠い | とおい
近い | ちかい
賑やか | にぎやか
まっすぐ | まっすぐ
旅行 | りょこう
方 | ほう
真ん中 | まんなか
速い | はやい
遅い | おそい
オートバイ | オートバイ
トラック | トラック
乗り場 | のりば
バス停 | バスてい
改札 | かいさつ
ホーム | ホーム
荷物 | にもつ
急ぐ | いそぐ
遅れる | おくれる
送る | おくる
通る | とおる
戻る | もどる
近所 | きんじょ
周り | まわり
坂 | さか
住所 | じゅうしょ
通う | かよう
