# theme: 날씨와 자연 — 계절·동물
# unit: voca-n5-u007
天気 | てんき
雨 | あめ
雪 | ゆき
風 | かぜ
雲 | くも
晴れ | はれ
曇り | くもり
晴れる | はれる
曇る | くもる
降る | ふる
吹く | ふく
暑い | あつい
寒い | さむい
暖かい | あたたかい
涼しい | すずしい
蒸し暑い | むしあつい
春 | はる
夏 | なつ
秋 | あき
冬 | ふゆ
季節 | きせつ
空 | そら
太陽 | たいよう
星 | ほし
山 | やま
川 | かわ
海 | うみ
池 | いけ
島 | しま
森 | もり
林 | はやし
木 | き
花 | はな
草 | くさ
葉 | は
石 | いし
岩 | いわ
砂 | すな
土 | つち
火 | ひ
動物 | どうぶつ
犬 | いぬ
猫 | ねこ
鳥 | とり
牛 | うし
馬 | うま
豚 | ぶた
羊 | ひつじ
猿 | さる
熊 | くま
虎 | とら
象 | ぞう
ライオン | ライオン
パンダ | パンダ
兎 | うさぎ
鼠 | ねずみ
蛇 | へび
虫 | むし
蝶 | ちょう
蚊 | か
蟻 | あり
鶏 | にわとり
亀 | かめ
狐 | きつね
蛙 | かえる
蜂 | はち
金魚 | きんぎょ
小鳥 | ことり
台風 | たいふう
雷 | かみなり
地震 | じしん
天気予報 | てんきよほう
気温 | きおん
自然 | しぜん
景色 | けしき
桜 | さくら
紅葉 | もみじ
梅雨 | つゆ
霧 | きり
虹 | にじ
湖 | みずうみ
海岸 | かいがん
波 | なみ
空気 | くうき
光 | ひかり
光る | ひかる
世界 | せかい
地球 | ちきゅう
植物 | しょくぶつ
種 | たね
枝 | えだ
竹 | たけ
畑 | はたけ
田んぼ | たんぼ
谷 | たに
氷 | こおり
凍る | こおる
咲く | さく
散る | ちる
枯れる | かれる
