# theme: 기본 동사와 형용사 — 가다·오다·크다·작다
# unit: voca-n5-u008
行く | いく
来る | くる
する | する
ある | ある
いる | いる
なる | なる
会う | あう
持つ | もつ
始まる | はじまる
終わる | おわる
始める | はじめる
思う | おもう
考える | かんがえる
働く | はたらく
取る | とる
あげる | あげる
もらう | もらう
くれる | くれる
呼ぶ | よぶ
死ぬ | しぬ
着る | きる
脱ぐ | ぬぐ
履く | はく
被る | かぶる
歌う | うたう
泣く | なく
笑う | わらう
切る | きる
頼む | たのむ
大きい | おおきい
小さい | ちいさい
低い | ひくい
長い | ながい
短い | みじかい
いい | いい
悪い | わるい
多い | おおい
少ない | すくない
重い | おもい
軽い | かるい
太い | ふとい
細い | ほそい
厚い | あつい
薄い | うすい
早い | はやい
楽しい | たのしい
面白い | おもしろい
つまらない | つまらない
難しい | むずかしい
易しい | やさしい
痛い | いたい
綺麗 | きれい
丈夫 | じょうぶ
好き | すき
嫌い | きらい
上手 | じょうず
下手 | へた
大変 | たいへん
同じ | おなじ
色々 | いろいろ
強い | つよい
弱い | よわい
危ない | あぶない
欲しい | ほしい
泳ぐ | およぐ
飛ぶ | とぶ
吸う | すう
弾く | ひく
貼る | はる
撮る | とる
描く | かく
登る | のぼる
違う | ちがう
出来る | できる
要る | いる
分ける | わける
投げる | なげる
踊る | おどる
別れる | わかれる
似る | にる
似合う | にあう
閉じる | とじる
過ぎる | すぎる
鳴く | なく
生きる | いきる
見える | みえる
連れる | つれる
締める | しめる
数える | かぞえる
比べる | くらべる
引っ越す | ひっこす
大丈夫 | だいじょうぶ
大好き | だいすき
可愛い | かわいい
丸い | まるい
四角い | しかくい
凄い | すごい
酸っぱい | すっぱい
苦い | にがい
柔らかい | やわらかい
